"","X1","STATE.ABBREVIATION","STATE","DISTRICT","FEC.ID.","incumbent","candidate.first","candidate.last","candidate.name","TOTAL.VOTES","PARTY","PRIMARY","primary.perc","RUNOFF","runoff.perc","GENERAL","GE.perc","GE.RUNOFF.ELECTION.VOTES..LA.","GE.RUNOFF.ELECTION....LA.","COMBINED.GE.PARTY.TOTALS..CT..NY..SC.","COMBINED....CT..NY..SC.","GE.WINNER.INDICATOR","FOOTNOTES","X","year"
"2",3,"AL","Alabama","01","H2AL01077","(I)","Jo","Bonner","Bonner, Jo","","R","48,702","55.55%","","","196,374","97.86%","","","","","W","",NA,"2012"
"3",4,"AL","Alabama","01","H2AL01176","","Dean","Young","Young, Dean","","R","21,308","24.30%","","","","","","","","","","",NA,"2012"
"4",5,"AL","Alabama","01","H2AL01184","","Pete","Riehm","Riehm, Pete","","R","13,809","15.75%","","","","","","","","","","",NA,"2012"
"5",6,"AL","Alabama","01","H0AL01030","","Peter","Gounares","Gounares, Peter","","R","3,854","4.40%","","","","","","","","","","",NA,"2012"
"10",11,"AL","Alabama","02","H0AL02087","(I)","Martha","Roby","Roby, Martha","","R","Unopposed","","","","180,591","63.60%","","","","","W","",NA,"2012"
"11",12,"AL","Alabama","02","H2AL02141","","Therese","Ford","Ford, Therese","","D","Unopposed","","","","103,092","36.31%","","","","","","",NA,"2012"
"15",16,"AL","Alabama","03","H2AL03032","(I)","Mike","Rogers","Rogers, Mike","","R","Unopposed","","","","175,306","64.00%","","","","","W","",NA,"2012"
"16",17,"AL","Alabama","03","H2AL03099","","John Andrew","Harris","Harris, John Andrew","","D","Unopposed","","","","98,141","35.83%","","","","","","",NA,"2012"
"20",21,"AL","Alabama","04","H6AL04098","(I)","Robert","Aderholt","Aderholt, Robert","","R","Unopposed","","","","199,071","73.97%","","","","","W","",NA,"2012"
"21",22,"AL","Alabama","04","H2AL04055","","Daniel H.","Boman","Boman, Daniel H.","","D","10,971","51.45%","","","69,706","25.90%","","","","","","",NA,"2012"
"22",23,"AL","Alabama","04","H2AL04063","","Rick","Neighbors","Neighbors, Rick","","D","10,353","48.55%","","","","","","","","","","",NA,"2012"
"27",28,"AL","Alabama","05","H0AL05163","(I)","Mo","Brooks","Brooks, Mo","","R","65,163","70.94%","","","189,185","64.95%","","","","","W","",NA,"2012"
"28",29,"AL","Alabama","05","H8AL05109","","Parker","Griffith","Griffith, Parker","","R","26,694","29.06%","","","","","","","","","","",NA,"2012"
"30",31,"AL","Alabama","05","H2AL05094","","Charlie L.","Holley","Holley, Charlie L.","","D","Unopposed","","","","101,772","34.94%","","","","","","",NA,"2012"
"34",35,"AL","Alabama","06","H2AL06035","(I)","Spencer","Bachus","Bachus, Spencer","","R","63,360","61.45%","","","219,262","71.17%","","","","","W","",NA,"2012"
"35",36,"AL","Alabama","06","H2AL06126","","Scott","Beason","Beason, Scott","","R","28,673","27.81%","","","","","","","","","","",NA,"2012"
"36",37,"AL","Alabama","06","H2AL06100","","David","Standridge","Standridge, David","","R","8,120","7.87%","","","","","","","","","","",NA,"2012"
"37",38,"AL","Alabama","06","H2AL06134","","Al","Mickle","Mickle, Al","","R","2,930","2.84%","","","","","","","","","","",NA,"2012"
"40",41,"AL","Alabama","06","H2AL06142","","Penny ""Colonel""","Bailey","Bailey, Penny ""Colonel""","","D","5,061","61.05%","","","88,267","28.65%","","","","","","",NA,"2012"
"41",42,"AL","Alabama","06","H2AL06159","","William","Barnes","Barnes, William","","D","3,229","38.95%","","","","","","","","","","",NA,"2012"
"46",47,"AL","Alabama","07","H0AL07086","(I)","Terri A.","Sewell","Sewell, Terri A.","","D","Unopposed","","","","232,520","75.85%","","","","","W","",NA,"2012"
"47",48,"AL","Alabama","07","H0AL07177","","Don","Chamberlain","Chamberlain, Don","","R","11,537","66.10%","","","73,835","24.09%","","","","","","",NA,"2012"
"48",49,"AL","Alabama","07","H2AL07165","","Phillip","Norris","Norris, Phillip","","R","5,918","33.90%","","","","","","","","","","",NA,"2012"
"55",56,"AK","Alaska","00","H6AK00045","(I)","Don","Young","Young, Don","","R","58,789","78.59%","","","185,296","63.94%","","","","","W","",NA,"2012"
"56",57,"AK","Alaska","00","H0AK00097","","John R.","Cox","Cox, John R.","","R","11,179","14.94%","","","","","","","","","","",NA,"2012"
"57",58,"AK","Alaska","00","H2AK00135","","Terré L.","Gales","Gales, Terré L.","","R","4,841","6.47%","","","","","","","","","","",NA,"2012"
"59",60,"AK","Alaska","00","H2AK00119","","Sharon M.","Cissna","Cissna, Sharon M.","","D","16,329","50.32%","","","82,927","28.61%","","","","","","",NA,"2012"
"60",61,"AK","Alaska","00","H2AK00101","","Matt","Moore","Moore, Matt","","D","7,374","22.73%","","","","","","","","","","",NA,"2012"
"61",62,"AK","Alaska","00","H2AK00127","","Debra","Chesnut","Chesnut, Debra","","D","5,626","17.34%","","","","","","","","","","",NA,"2012"
"62",63,"AK","Alaska","00","H4AK00057","","Frank J.","Vondersaar","Vondersaar, Frank J.","","D","2,085","6.43%","","","","","","","","","","",NA,"2012"
"63",64,"AK","Alaska","00","H2AK00093","","Doug","Urquidi","Urquidi, Doug","","D","1,034","3.19%","","","","","","","","","","",NA,"2012"
"65",66,"AK","Alaska","00","H2AK00143","","Jim C.","McDermott","McDermott, Jim C.","","LIB","5,741","100.00%","","","15,028","5.19%","","","","","","",NA,"2012"
"67",68,"AK","Alaska","00","H2AK00176","","Ted","Gianoutsos","Gianoutsos, Ted","","NAF","","","","","5,589","1.93%","","","","","","",NA,"2012"
"73",74,"AS","American Samoa","00","H0AS00018","(I)","Eni F.H.","Faleomavaega","Faleomavaega, Eni F.H.","","D","","","","","7,221","55.22%","","","","","W","",NA,"2012"
"74",75,"AS","American Samoa","00","H4AS00036","","Aumua","Amata","Amata, Aumua","","CON","","","","","4,420","33.80%","","","","","","",NA,"2012"
"75",76,"AS","American Samoa","00","H8AS00052","","Rosie F. Tago","Lancaster","Lancaster, Rosie F. Tago","","IND","","","","","697","5.33%","","","","","","",NA,"2012"
"76",77,"AS","American Samoa","00","H2AS00055","","Kereti, Jr.","Mata'utia","Mata'utia, Kereti, Jr.","","D","","","","","438","3.35%","","","","","","",NA,"2012"
"77",78,"AS","American Samoa","00","H2AS00063","","Fatumalala Leulua'iali'i A.","Al-Sheri","Al-Sheri, Fatumalala Leulua'iali'i A.","","NPA","","","","","300","2.29%","","","","","","",NA,"2012"
"83",84,"AZ","Arizona","01","H8AZ01104","","Ann","Kirkpatrick","Kirkpatrick, Ann","","D","33,831","63.74%","","","122,774","48.80%","","","","","W","",NA,"2012"
"84",85,"AZ","Arizona","01","H2AZ01271","","Wenona","Benally Baldenegro","Benally Baldenegro, Wenona","","D","19,247","36.26%","","","","","","","","","","",NA,"2012"
"86",87,"AZ","Arizona","01","H0AZ08056","","Jonathan","Paton","Paton, Jonathan","","R","28,644","60.86%","","","113,594","45.15%","","","","","","",NA,"2012"
"87",88,"AZ","Arizona","01","H2AZ01305","","Gaither","Martin","Martin, Gaither","","R","8,958","19.03%","","","","","","","","","","",NA,"2012"
"88",89,"AZ","Arizona","01","H2AZ01289","","Douglas","Wade","Wade, Douglas","","R","6,758","14.36%","","","","","","","","","","",NA,"2012"
"89",90,"AZ","Arizona","01","H2AZ01313","","Patrick","Gatti","Gatti, Patrick","","R","2,707","5.75%","","","","","","","","","","",NA,"2012"
"91",92,"AZ","Arizona","01","H2AZ01321","","Kim","Allen","Allen, Kim","","W(LIB)/LIB","97","100.00%","","","15,227","6.05%","","","","","","",NA,"2012"
"95",96,"AZ","Arizona","02","H2AZ08094","(I)","Ron ","Barber","Barber, Ron ","","D","51,206","82.03%","","","147,338","50.41%","","","","","W","",NA,"2012"
"96",97,"AZ","Arizona","02","H2AZ08078","","Matt","Heinz","Heinz, Matt","","D","11,213","17.96%","","","","","","","","","","",NA,"2012"
"97",98,"AZ","Arizona","02","H2AZ08128","","Charlie","Manolakis","Manolakis, Charlie","","W(D)","4","0.01%","","","","","","","","","","",NA,"2012"
"99",100,"AZ","Arizona","02","H2AZ08102","","Martha ","McSally","McSally, Martha ","","R","52,809","81.70%","","","144,884","49.57%","","","","","","",NA,"2012"
"100",101,"AZ","Arizona","02","H2AZ08110","","Mark","Koskiniemi","Koskiniemi, Mark","","R","11,828","18.30%","","","","","","","","","","",NA,"2012"
"102",103,"AZ","Arizona","02","H2AZ08045","","Anthony","Prowell","Prowell, Anthony","","W","","","","","57","0.02%","","","","","","",NA,"2012"
"105",106,"AZ","Arizona","03","H2AZ07070","(I)","Raúl M.","Grijalva","Grijalva, Raúl M.","","D","24,044","65.63%","","","98,468","58.37%","","","","","W","",NA,"2012"
"106",107,"AZ","Arizona","03","H2AZ03137","","Amanda","Aguirre","Aguirre, Amanda","","D","9,484","25.89%","","","","","","","","","","",NA,"2012"
"107",108,"AZ","Arizona","03","H2AZ03111","","Manny","Arreguin","Arreguin, Manny","","D","3,105","8.48%","","","","","","","","","","",NA,"2012"
"109",110,"AZ","Arizona","03","H2AZ07146","","Gabriela","Saucedo Mercer","Saucedo Mercer, Gabriela","","R","12,474","65.32%","","","62,663","37.15%","","","","","","",NA,"2012"
"110",111,"AZ","Arizona","03","H2AZ07161","","Jaime","Vasquez","Vasquez, Jaime","","R","6,622","34.68%","","","","","","","","","","",NA,"2012"
"112",113,"AZ","Arizona","03","H2AZ03145","","Blanca","Guerra","Guerra, Blanca","","LIB","116","100.00%","","","7,567","4.49%","","","","","","",NA,"2012"
"116",117,"AZ","Arizona","04","H0AZ01259","(I)","Raul","Gosar","Gosar, Raul","","R","40,033","51.35%","","","162,907","66.83%","","","","","W","",NA,"2012"
"117",118,"AZ","Arizona","04","H2AZ04135","","Ron ","Gould","Gould, Ron ","","R","24,617","31.57%","","","","","","","","","","",NA,"2012"
"118",119,"AZ","Arizona","04","H4AZ02093","","Rick","Murphy","Murphy, Rick","","R","13,315","17.08%","","","","","","","","","","",NA,"2012"
"120",121,"AZ","Arizona","04","H2AZ04150","","Johnnie","Robinson","Robinson, Johnnie","","D","10,183","50.05%","","","69,154","28.37%","","","","","","",NA,"2012"
"121",122,"AZ","Arizona","04","H2AZ04143","","Mikel","Weisser","Weisser, Mikel","","D","10,164","49.95%","","","","","","","","","","",NA,"2012"
"123",124,"AZ","Arizona","04","H2AZ04176","","Joe","Pamelia","Pamelia, Joe","","LIB","189","100.00%","","","9,306","3.82%","","","","","","",NA,"2012"
"125",126,"AZ","Arizona","04","H8AZ06012","","Richard","Grayson","Grayson, Richard","","W(AE)/AE","11","100.00%","","","2,393","0.98%","","","","","","",NA,"2012"
"129",130,"AZ","Arizona","05","H4AZ01038","","Matt","Salmon","Salmon, Matt","","R","41,078","51.85%","","","183,470","67.19%","","","","","W","",NA,"2012"
"130",131,"AZ","Arizona","05","H2AZ06148","","Kirk","Adams","Adams, Kirk","","R","38,152","48.15%","","","","","","","","","","",NA,"2012"
"132",133,"AZ","Arizona","05","H2AZ05140","","Spencer","Morgan","Morgan, Spencer","","D","19,659","100.00%","","","89,589","32.81%","","","","","","",NA,"2012"
"136",137,"AZ","Arizona","06","H4AZ06045","(I)","David","Schweikert","Schweikert, David","","R","41,821","51.48%","","","179,706","61.30%","","","","","W","",NA,"2012"
"137",138,"AZ","Arizona","06","H0AZ03362","(I)","Ben","Quayle","Quayle, Ben","","R","39,414","48.52%","","","","","","","","","","",NA,"2012"
"139",140,"AZ","Arizona","06","H2AZ06171","","Matt","Jette","Jette, Matt","","D","12,383","51.91%","","","97,666","33.31%","","","","","","",NA,"2012"
"140",141,"AZ","Arizona","06","H2AZ05132","","W. John","Williamson","Williamson, W. John","","D","11,471","48.09%","","","","","","","","","","",NA,"2012"
"142",143,"AZ","Arizona","06","H2AZ06189","","Jack","Anderson","Anderson, Jack","","LIB","287","100.00%","","","10,167","3.47%","","","","","","",NA,"2012"
"144",145,"AZ","Arizona","06","H2AZ06197","","Mark","Salazar","Salazar, Mark","","W(GRE)/GRE","2","100.00%","","","5,637","1.92%","","","","","","",NA,"2012"
"149",150,"AZ","Arizona","07","H2AZ02055","(I)","Ed","Pastor","Pastor, Ed","","D","22,664","79.03%","","","104,489","81.74%","","","","","W","",NA,"2012"
"150",151,"AZ","Arizona","07","H8AZ04116","","Rebecca","DeWitt","DeWitt, Rebecca","","D","6,013","20.97%","","","","","","","","","","",NA,"2012"
"152",153,"AZ","Arizona","07","H6AZ07022","","Joe","Cobb","Cobb, Joe","","LIB","162","100.00%","","","23,338","18.26%","","","","","","",NA,"2012"
"154",155,"AZ","Arizona","07","H2AZ07179","","Scott","Fistler","Fistler, Scott","","W(R)","116","100.00%","","","","","","","","","","",NA,"2012"
"158",159,"AZ","Arizona","08","H4AZ04024","(I)","Trent ","Franks","Franks, Trent ","","R","57,257","83.17%","","","172,809","63.35%","","","","","W","",NA,"2012"
"159",160,"AZ","Arizona","08","H2AZ08144","","Tony","Passalacqua","Passalacqua, Tony","","R","11,572","16.81%","","","","","","","","","","",NA,"2012"
"160",161,"AZ","Arizona","08","H2AZ08136","","Helmuth","Hack","Hack, Helmuth","","W(R)","18","0.03%","","","","","","","","","","",NA,"2012"
"162",163,"AZ","Arizona","08","H0AZ03248","","Gene","Scharer","Scharer, Gene","","D","24,510","100.00%","","","95,635","35.06%","","","","","","",NA,"2012"
"164",165,"AZ","Arizona","08","H2AZ08151","","Stephen","Dolgos","Dolgos, Stephen","","AE","34","100.00%","","","4,347","1.59%","","","","","","",NA,"2012"
"168",169,"AZ","Arizona","09","H2AZ09019","","Kyrsten","Sinema","Sinema, Kyrsten","","D","15,536","40.78%","","","121,881","48.73%","","","","","W","",NA,"2012"
"169",170,"AZ","Arizona","09","H2AZ09027","","David","Schapira","Schapira, David","","D","11,419","29.97%","","","","","","","","","","",NA,"2012"
"170",171,"AZ","Arizona","09","H2AZ09043","","Andrei","Cherny","Cherny, Andrei","","D","11,146","29.25%","","","","","","","","","","",NA,"2012"
"172",173,"AZ","Arizona","09","H0AZ03321","","Vernon B.","Parker","Parker, Vernon B.","","R","11,184","22.46%","","","111,630","44.63%","","","","","","",NA,"2012"
"173",174,"AZ","Arizona","09","H2AZ09035","","Wendy","Rogers","Rogers, Wendy","","R","10,479","21.05%","","","","","","","","","","",NA,"2012"
"174",175,"AZ","Arizona","09","H2AZ09050","","Martin","Sepulveda","Sepulveda, Martin","","R","10,165","20.42%","","","","","","","","","","",NA,"2012"
"175",176,"AZ","Arizona","09","H2AZ06155","","Travis","Grantham","Grantham, Travis","","R","9,179","18.44%","","","","","","","","","","",NA,"2012"
"176",177,"AZ","Arizona","09","H2AZ09118","","Jeff","Thompson","Thompson, Jeff","","R","3,358","6.75%","","","","","","","","","","",NA,"2012"
"177",178,"AZ","Arizona","09","H2AZ09100","","Lisa","Borowsky","Borowsky, Lisa","","R","3,281","6.59%","","","","","","","","","","",NA,"2012"
"178",179,"AZ","Arizona","09","H2AZ09084","","Leah","Campos Schandlbauer","Campos Schandlbauer, Leah","","R","2,139","4.30%","","","","","","","","","","",NA,"2012"
"180",181,"AZ","Arizona","09","H4AZ02119","","Powell","Gammill","Gammill, Powell","","W(LIB)/LIB","90","100.00%","","","16,620","6.64%","","","","","","",NA,"2012"
"186",187,"AZ","Arizona","S","S2AZ00141","","Jeff","Flake","Flake, Jeff","","R","357,360","69.25%","","","1,104,457","49.23%","","","","","W","",NA,"2012"
"187",188,"AZ","Arizona","S","S2AZ00190","","Wil","Cardon","Cardon, Wil","","R","110,150","21.35%","","","","","","","","","","",NA,"2012"
"188",189,"AZ","Arizona","S","S2AZ00216","","Clair","Van Steenwyk","Van Steenwyk, Clair","","R","29,159","5.65%","","","","","","","","","","",NA,"2012"
"189",190,"AZ","Arizona","S","S2AZ00166","","Bryan","Hackbarth","Hackbarth, Bryan","","R","19,174","3.72%","","","","","","","","","","",NA,"2012"
"190",191,"AZ","Arizona","S","S2AZ00240","","John","Lyon","Lyon, John","","W(R)","126","0.02%","","","","","","","","","","",NA,"2012"
"191",192,"AZ","Arizona","S","S2AZ00281","","Luis","Acle","Acle, Luis","","W(R)","56","0.01%","","","","","","","","","","",NA,"2012"
"193",194,"AZ","Arizona","S","S2AZ00232","","Richard","Carmona","Carmona, Richard","","D","289,881","100.00%","","","1,036,542","46.20%","","","","","","",NA,"2012"
"195",196,"AZ","Arizona","S","S2AZ00299","","Marc","Victor","Victor, Marc","","W(LIB)/LIB","591","100.00%","","","102,109","4.55%","","","","","","",NA,"2012"
"197",198,"AZ","Arizona","S","S2AZ00307","","Stephen","Watts","Watts, Stephen","","W","","","","","290","0.01%","","","","","","",NA,"2012"
"202",203,"AR","Arkansas","01","H0AR01083","(I)","Rick ","Crawford","Crawford, Rick ","","R","Unopposed","","","","138,800","56.23%","","","","","W","",NA,"2012"
"203",204,"AR","Arkansas","01","H2AR01071","","Scott","Ellington","Ellington, Scott","","D","27,936","49.53%","10,028","50.74%","96,601","39.13%","","","","","","",NA,"2012"
"204",205,"AR","Arkansas","01","H2AR01055","","Clark M.","Hall","Hall, Clark M.","","D","21,861","38.76%","9,737","49.26%","","","","","","","","",NA,"2012"
"205",206,"AR","Arkansas","01","H2AR01063","","Gary","Latanich","Latanich, Gary","","D","6,605","11.71%","","","","","","","","","","",NA,"2012"
"207",208,"AR","Arkansas","01","H2AR01089","","Jessica","Paxton","Paxton, Jessica","","LIB","","","","","6,427","2.60%","","","","","","",NA,"2012"
"208",209,"AR","Arkansas","01","H2AR01097","","Jacob","Holloway","Holloway, Jacob","","GRE","","","","","5,015","2.03%","","","","","","",NA,"2012"
"211",212,"AR","Arkansas","02","H0AR02107","(I)","Tim ","Griffin","Griffin, Tim ","","R","Unopposed","","","","158,175","55.19%","","","","","W","",NA,"2012"
"212",213,"AR","Arkansas","02","H2AR02053","","Herb","Rule","Rule, Herb","","D","Unopposed","","","","113,156","39.48%","","","","","","",NA,"2012"
"213",214,"AR","Arkansas","02","H2AR02079","","Barbara","Ward","Ward, Barbara","","GRE","","","","","8,566","2.99%","","","","","","",NA,"2012"
"214",215,"AR","Arkansas","02","H2AR02061","","Chris","Hayes","Hayes, Chris","","LIB","","","","","6,701","2.34%","","","","","","",NA,"2012"
"217",218,"AR","Arkansas","03","H0AR03055","(I)","Steve","Womack","Womack, Steve","","R","Unopposed","","","","186,467","75.90%","","","","","W","",NA,"2012"
"218",219,"AR","Arkansas","03","H2AR03242","","Ken","Aden","Aden, Ken","","D","Unopposed","","","","","","","","","","","",NA,"2012"
"219",220,"AR","Arkansas","03","H2AR03259","","Rebekah","Kennedy","Kennedy, Rebekah","","GRE","","","","","39,318","16.01%","","","","","","",NA,"2012"
"220",221,"AR","Arkansas","03","H2AR03267","","David","Pangrac","Pangrac, David","","LIB","Unopposed","","","","19,875","8.09%","","","","","","",NA,"2012"
"223",224,"AR","Arkansas","04","H2AR04083","","Tom","Cotton","Cotton, Tom","","R","20,899","57.55%","","","154,149","59.53%","","","","","W","",NA,"2012"
"224",225,"AR","Arkansas","04","H0AR04079","","Beth Anne","Rankin","Rankin, Beth Anne","","R","13,460","37.07%","","","","","","","","","","",NA,"2012"
"225",226,"AR","Arkansas","04","H2AR04117","","John ","Cowart","Cowart, John ","","R","1,953","5.38%","","","","","","","","","","",NA,"2012"
"227",228,"AR","Arkansas","04","H2AR04109","","Gene","Jeffress","Jeffress, Gene","","D","23,848","43.02%","15,266","60.67%","95,013","36.69%","","","","","","",NA,"2012"
"228",229,"AR","Arkansas","04","H2AR04133","","Q. Byrum","Hurst","Hurst, Q. Byrum","","D","19,812","35.74%","9,895","39.33%","","","","","","","","",NA,"2012"
"229",230,"AR","Arkansas","04","H2AR04125","","DC","Morrison","Morrison, DC","","D","11,771","21.24%","","","","","","","","","","",NA,"2012"
"231",232,"AR","Arkansas","04","H2AR04141","","Bobby","Tullis","Tullis, Bobby","","LIB","","","","","4,984","1.92%","","","","","","",NA,"2012"
"232",233,"AR","Arkansas","04","H8AR04098","","J. Joshua","Drake","Drake, J. Joshua","","GRE","","","","","4,807","1.86%","","","","","","",NA,"2012"
"239",240,"CA","California","01","H2CA02142","","Doug","La Malfa","La Malfa, Doug","","R","66,527","37.93%","","","168,827","57.38%","","","","","W","",NA,"2012"
"240",241,"CA","California","01","H0CA02138","","Jim","Reed","Reed, Jim","","D","43,409","24.75%","","","125,386","42.62%","","","","","","",NA,"2012"
"241",242,"CA","California","01","H2CA01110","","Sam ","Aanestad","Aanestad, Sam ","","R","25,224","14.38%","","","","","","","","","","",NA,"2012"
"242",243,"CA","California","01","H2CA01128","","Michael ","Dacquisto","Dacquisto, Michael ","","R","10,530","6.00%","","","","","","","","","","",NA,"2012"
"243",244,"CA","California","01","H0CA02120","","Pete","Stiglich","Stiglich, Pete","","R","10,258","5.85%","","","","","","","","","","",NA,"2012"
"244",245,"CA","California","01","H4CA03054","","Nathan ","Arrowsmith","Arrowsmith, Nathan ","","D","8,598","4.90%","","","","","","","","","","",NA,"2012"
"245",246,"CA","California","01","H2CA01151","","Gary Allen","Oxley","Oxley, Gary Allen","","NOP","5,901","3.36%","","","","","","","","","","",NA,"2012"
"246",247,"CA","California","01","H2CA01136","","Gregory ","Cheadle","Cheadle, Gregory ","","R","4,939","2.82%","","","","","","","","","","",NA,"2012"
"249",250,"CA","California","02","H2CA06259","","Jared ","Huffman","Huffman, Jared ","","D","63,922","37.49%","","","226,216","71.24%","","","","","W","",NA,"2012"
"250",251,"CA","California","02","H0CA06121","","Daniel W.","Roberts","Roberts, Daniel W.","","R","25,635","15.03%","","","91,310","28.76%","","","","","","",NA,"2012"
"251",252,"CA","California","02","H2CA06267","","Norman ","Solomon","Solomon, Norman ","","D","25,462","14.93%","","","","","","","","","","",NA,"2012"
"252",253,"CA","California","02","H2CA02100","","Stacey ","Lawson","Lawson, Stacey ","","D","16,946","9.94%","","","","","","","","","","",NA,"2012"
"253",254,"CA","California","02","H2CA06275","","Susan L. ","Adams","Adams, Susan L. ","","D","14,041","8.23%","","","","","","","","","","",NA,"2012"
"254",255,"CA","California","02","H6CA06193","","Mike ","Halliwell","Halliwell, Mike ","","R","10,008","5.87%","","","","","","","","","","",NA,"2012"
"255",256,"CA","California","02","H2CA02167","","Brooke ","Clarke","Clarke, Brooke ","","NOP","3,715","2.18%","","","","","","","","","","",NA,"2012"
"256",257,"CA","California","02","H2CA06283","","Tiffany ","Renée","Renée, Tiffany ","","D","3,033","1.78%","","","","","","","","","","",NA,"2012"
"257",258,"CA","California","02","H2CA02175","","John","Lewallen","Lewallen, John","","NOP","2,488","1.46%","","","","","","","","","","",NA,"2012"
"258",259,"CA","California","02","H2CA02126","","William L. ","Courtney","Courtney, William L. ","","D","2,385","1.40%","","","","","","","","","","",NA,"2012"
"259",260,"CA","California","02","H2CA02118","","Andy ","Caffrey","Caffrey, Andy ","","D","1,737","1.02%","","","","","","","","","","",NA,"2012"
"260",261,"CA","California","02","H2CA02159","","Larry ","Fritzlan","Fritzlan, Larry ","","D","1,151","0.67%","","","","","","","","","","",NA,"2012"
"263",264,"CA","California","03","H0CA10149","(I)","John ","Garamendi","Garamendi, John ","","D","59,546","51.47%","","","126,882","54.23%","","","","","W","",NA,"2012"
"264",265,"CA","California","03","H2CA03090","","Kim ","Vann","Vann, Kim ","","R","30,254","26.15%","","","107,086","45.77%","","","","","","",NA,"2012"
"265",266,"CA","California","03","H0CA07103","","Rick ","Tubbs","Tubbs, Rick ","","R","17,902","15.48%","","","","","","","","","","",NA,"2012"
"266",267,"CA","California","03","H2CA03108","","Tony ","Carlos","Carlos, Tony ","","R","5,541","4.79%","","","","","","","","","","",NA,"2012"
"267",268,"CA","California","03","H0CA00090","","Eugene ","Ray","Ray, Eugene ","","R","2,438","2.11%","","","","","","","","","","",NA,"2012"
"270",271,"CA","California","04","H8CA04152","(I)","Tom","McClintock","McClintock, Tom","","R","114,311","64.79%","","","197,803","61.11%","","","","","W","",NA,"2012"
"271",272,"CA","California","04","H2CA04114","","Jack ","Uppal","Uppal, Jack ","","D","62,130","35.21%","","","125,885","38.89%","","","","","","",NA,"2012"
"274",275,"CA","California","05","H8CA01109","(I)","Mike ","Thompson","Thompson, Mike ","","D","95,748","72.20%","","","202,872","74.47%","","","","","W","",NA,"2012"
"275",276,"CA","California","05","H2CA05095","","Randy","Loftin","Loftin, Randy","","R","22,137","16.69%","","","69,545","25.53%","","","","","","",NA,"2012"
"276",277,"CA","California","05","H2CA05087","","Stewart  John","Cilley","Cilley, Stewart  John","","R","14,734","11.11%","","","","","","","","","","",NA,"2012"
"279",280,"CA","California","06","H6CA05195","(I)","Doris ","Matsui","Matsui, Doris ","","D","67,174","71.40%","","","160,667","75.05%","","","","","W","",NA,"2012"
"280",281,"CA","California","06","H2CA06291","","Joseph, Sr.","McRay","McRay, Joseph, Sr.","","R","15,647","16.63%","","","53,406","24.95%","","","","","","",NA,"2012"
"281",282,"CA","California","06","H0CA05073","","Erik","Smitt","Smitt, Erik","","R","11,254","11.96%","","","","","","","","","","",NA,"2012"
"284",285,"CA","California","07","H0CA03078","","Ami ","Bera","Bera, Ami ","","D","49,433","41.00%","","","141,241","51.68%","","","","","W","",NA,"2012"
"285",286,"CA","California","07","H6CA34112","(I)","Dan","Lungren","Lungren, Dan","","R","63,586","52.73%","","","132,050","48.32%","","","","","","",NA,"2012"
"286",287,"CA","California","07","H2CA07117 ","","Curt","Taras","Taras, Curt","","NOP","3,854","3.20%","","","","","","","","","","",NA,"2012"
"287",288,"CA","California","07","H8CA05134","","Douglas Arthur","Tuma","Tuma, Douglas Arthur","","LIB","3,707","3.07%","","","","","","","","","","",NA,"2012"
"290",291,"CA","California","08","H2CA08164","","Paul ","Cook","Cook, Paul ","","R","12,517","15.29%","","","103,093","57.39%","","","","","W","",NA,"2012"
"291",292,"CA","California","08","H2CA41116","","Gregg","Imus","Imus, Gregg","","R","12,754","15.58%","","","76,551","42.61%","","","","","","",NA,"2012"
"292",293,"CA","California","08","H0CA42175","","Phil","Liberatore","Liberatore, Phil","","R","12,277","15.00%","","","","","","","","","","",NA,"2012"
"293",294,"CA","California","08","H8CA25058","","Jackie ","Conaway","Conaway, Jackie ","","D","11,674","14.26%","","","","","","","","","","",NA,"2012"
"294",295,"CA","California","08","B2CA08156","","Brad","Mitzelfelt","Mitzelfelt, Brad","","R","8,801","10.75%","","","","","","","","","","",NA,"2012"
"295",296,"CA","California","08","H2CA00138","","John ","Pinkerton","Pinkerton, John ","","D","7,941","9.70%","","","","","","","","","","",NA,"2012"
"296",297,"CA","California","08","H2CA08149","","Angela","Valles","Valles, Angela","","R","4,924","6.02%","","","","","","","","","","",NA,"2012"
"297",298,"CA","California","08","H2CA08131","","Ryan","McEachron","McEachron, Ryan","","R","3,181","3.89%","","","","","","","","","","",NA,"2012"
"298",299,"CA","California","08","H2CA08180","","Anthony ","Adams","Adams, Anthony ","","NOP","2,750","3.36%","","","","","","","","","","",NA,"2012"
"299",300,"CA","California","08","H2CA08172","","Bill","Jensen","Jensen, Bill","","R","1,850","2.26%","","","","","","","","","","",NA,"2012"
"300",301,"CA","California","08","H4CA40049","","George T.","Craig","Craig, George T.","","R","1,376","1.68%","","","","","","","","","","",NA,"2012"
"301",302,"CA","California","08","H2CA08206 ","","Joseph D.","Napolitano","Napolitano, Joseph D.","","R","1,050","1.28%","","","","","","","","","","",NA,"2012"
"302",303,"CA","California","08","H2CA08198 ","","Dennis L.","Albertsen","Albertsen, Dennis L.","","R","761","0.93%","","","","","","","","","","",NA,"2012"
"305",306,"CA","California","09","H4CA11081","(I)","Jerry ","McNerney","McNerney, Jerry ","","D","45,696","47.78%","","","118,373","55.55%","","","","","W","",NA,"2012"
