"","STATE.ABBREVIATION","candidate.last","year","X","X1","STATE","DISTRICT","FEC.ID.","incumbent","candidate.first","candidate.name","TOTAL.VOTES","PARTY","PRIMARY","primary.perc","RUNOFF","runoff.perc","GENERAL","GE.perc","woman"
"36","AK","McDermott",2012,65,66,"Alaska","00","H2AK00143","","Jim C.","McDermott, Jim C.",NA,"LIB","5,741","100.00%","","","15,028","5.19%",0
"37","AK","McDermott",2014,59100,60,"Alaska","00","H2AK00143","","Jim C.","McDermott, Jim C.",NA,"LIB","13,437","100.00%","","","21,290","7.61%",0
"38","AK","Metcalfe",2008,69,70,"Alaska","S","S8AK00082","","Ray","Metcalfe, Ray",NA,"D","5,480","7.81%","","","","",0
"39","AK","Miller",2010,81,82,"Alaska","S","S0AK00121","","Joe","Miller, Joe",NA,"R","55,878","50.91%","","","90,839","35.27%",0
"40","AK","Miller",2010,945,95,"Alaska","S","S0AK00121","","Joe","Miller, Joe",NA,"W","","","","","21","0.01%",0
"41","AK","Miller",2014,41261,7,"Alaska","S","S0AK00121","","Joe","Miller, Joe",NA,"R","35,904","32.14%","","","","",0
"42","AK","Moore",2012,6027,61,"Alaska","00","H2AK00101","","Matt","Moore, Matt",NA,"D","7,374","22.73%","","","","",0
"43","AK","Murkowski",2010,8810,89,"Alaska","S","","","","Murkowski",NA,"W (Challenged NOT Counted)","","","","","2,035","0.79%",1
"44","AK","Murkowski",2010,8710,88,"Alaska","S","S4AK00099","","","Murkowski",NA,"W (Challenged Counted)","","","","","8,160","3.17%",1
"45","AK","Murkowski",2010,8010,81,"Alaska","S","S4AK00099","(I)","Lisa ","Murkowski, Lisa ",NA,"REP/W***","53,872","49.09%","","","92,931","36.08%",1
"46","AK","Parnell",2008,57,58,"Alaska","00","H8AK00124","","Sean R.","Parnell, Sean R.",NA,"R","47,891","45.19%","","","","",0
"47","AK","Seaward",2014,53,54,"Alaska","00","H4AK00149","","David  ","Seaward, David  ",NA,"R","7,604","7.12%","","","","",0
"48","AK","Sikma",2008,76,77,"Alaska","S","S8AK00108","","Roderic H. ""Rick""","Sikma, Roderic H. ""Rick""",NA,"R","1,133","1.08%","","","","",0
"49","AK","Stevens",2008,72,73,"Alaska","S","S2AK00010","(I)","Ted","Stevens, Ted",NA,"R","66,900","63.52%","","","147,814","46.52%",0
"50","AK","Sullivan",2014,41251,6,"Alaska","S","S4AK00214 ","","Dan","Sullivan, Dan",NA,"R","44,740","40.05%","","","135,445","47.96%",0
"51","AK","Treadwell",2014,41271,8,"Alaska","S","S4AK00206 ","","Mead","Treadwell, Mead",NA,"R","27,807","24.90%","","","","",0
"52","AK","Urquidi",2012,6311,64,"Alaska","00","H2AK00093","","Doug","Urquidi, Doug",NA,"D","1,034","3.19%","","","","",0
"53","AK","Vickers",2008,74,75,"Alaska","S","S8AK00124","","Vic","Vickers, Vic",NA,"R","6,102","5.79%","","","","",0
"54","AK","Vondersaar",2008,70,71,"Alaska","S","S0AK00097","","Frank J.","Vondersaar, Frank J.",NA,"D","965","1.37%","","","","",0
"55","AK","Vondersaar",2010,85,86,"Alaska","S","S0AK00097","","Frank J.","Vondersaar, Frank J.",NA,"D","5,339","17.63%","","","","",0
"56","AK","Vondersaar",2012,62,63,"Alaska","00","H4AK00057","","Frank J.","Vondersaar, Frank J.",NA,"D","2,085","6.43%","","","","",0
"57","AK","Vondersaar",2014,57101,58,"Alaska","00","H4AK00057","","Frank J.","Vondersaar, Frank J.",NA,"D","9,132","19.08%","","","","",0
"58","AK","Walker",2014,4134,15,"Alaska","S","S4AK00255","","Thom M.","Walker, Thom M. #",NA,"LIB","3,167","61.01%","","","#","",0
"59","AK","Wanda",2008,77,78,"Alaska","S","S8AK00157","","Rich M.","Wanda, Rich M.",NA,"R","732","0.69%","","","","",0
"60","AK","Wright",2008,63,64,"Alaska","00","H6AK00094","","Don R.","Wright, Don R.",NA,"AKI","6,690","100.00%","","","14,274","4.50%",0
"61","AK","Young",2008,56,57,"Alaska","00","H6AK00045","(I)","Don E.","Young, Don E.",NA,"R","48,195","45.47%","","","158,939","50.14%",0
"62","AK","Young",2010,6910,70,"Alaska","00","H6AK00045","(I)","Don","Young, Don",NA,"R","74,310","70.35%","","","175,384","68.96%",0
"63","AK","Young",2012,55,56,"Alaska","00","H6AK00045","(I)","Don","Young, Don",NA,"R","58,789","78.59%","","","185,296","63.94%",0
"64","AK","Young",2014,51100,52,"Alaska","00","H6AK00045","(I)","Don","Young, Don",NA,"R","79,393","74.29%","","","142,572","50.97%",0
"65","AL","Aderholt",2008,22,23,"Alabama","04","H6AL04098","(I)","Robert","Aderholt, Robert",NA,"R","Unopposed","","","","196,741","74.76%",0
"66","AL","Aderholt",2010,2216,23,"Alabama","04","H6AL04098","(I)","Robert","Aderholt, Robert",NA,"R","Unopposed","","","","167,714","98.82%",0
"67","AL","Aderholt",2012,20,21,"Alabama","04","H6AL04098","(I)","Robert","Aderholt, Robert",NA,"R","Unopposed","","","","199,071","73.97%",0
"68","AL","Aderholt",2014,1842,19,"Alabama","04","H6AL04098","(I)","Robert","Aderholt, Robert",NA,"R","Unopposed","","","","132,831","98.57%",0
"69","AL","Bachus",2008,40,41,"Alabama","06","H2AL06035","(I)","Spencer","Bachus, Spencer",NA,"R","Unopposed","","","","280,902","97.79%",0
"70","AL","Bachus",2010,38,39,"Alabama","06","H2AL06035","(I)","Spencer","Bachus, Spencer",NA,"R","80,725","75.64%","","","205,288","98.05%",0
"71","AL","Bachus",2012,3415,35,"Alabama","06","H2AL06035","(I)","Spencer","Bachus, Spencer",NA,"R","63,360","61.45%","","","219,262","71.17%",0
