"","X1","STATE","STATE.ABBREVIATION","DISTRICT","FEC.ID.","incumbent","candidate.first","candidate.last","candidate.name","TOTAL.VOTES","PARTY","PRIMARY","primary.perc","RUNOFF","runoff.perc","GENERAL","GE.perc","COMBINED.GE.PARTY.TOTALS..CT..NY..SC.","COMBINED....CT..NY..SC.","FOOTNOTES","X","X.1","X.2","year"
"81",82,"Alaska","AK","S","S0AK00121","","Joe","Miller","Miller, Joe","","R","55,878","50.91%","","","90,839","35.27%","","","","",NA,NA,"2010"
"83",84,"Alaska","AK","S","S0AK00139","","Scott T.","McAdams","McAdams, Scott T.","","D","18,035","59.55%","","","60,045","23.32%","","","","",NA,NA,"2010"
"84",85,"Alaska","AK","S","S0AK00147","","Jacob Seth","Kern","Kern, Jacob Seth","","D","6,913","22.82%","","","","","","","","",NA,NA,"2010"
"85",86,"Alaska","AK","S","S0AK00097","","Frank J.","Vondersaar","Vondersaar, Frank J.","","D","5,339","17.63%","","","","","","","","",NA,NA,"2010"
"87",88,"Alaska","AK","S","S4AK00099","","","Murkowski","Murkowski","","W (Challenged Counted)","","","","","8,160","3.17%","","","","",NA,NA,"2010"
"88",89,"Alaska","AK","S","","","","Murkowski","Murkowski","","W (Challenged NOT Counted)","","","","","2,035","0.79%","","","","",NA,NA,"2010"
"89",90,"Alaska","AK","S","S8AK00165","","Fredrick ""David""","Haase","Haase, Fredrick ""David""","","LIB","5,793","100.00%","","","1,459","0.57%","","","","",NA,NA,"2010"
"91",92,"Alaska","AK","S","S0AK00154","","Tim","Carter","Carter, Tim","","NAF","","","","","927","0.36%","","","","",NA,NA,"2010"
"93",94,"Alaska","AK","S","S4AK00115","","Ted","Gianoutsos","Gianoutsos, Ted","","NAF","","","","","458","0.18%","","","","",NA,NA,"2010"
"94",95,"Alaska","AK","S","S0AK00121","","Joe","Miller","Miller, Joe","","W","","","","","21","0.01%","","","","",NA,NA,"2010"
"95",96,"Alaska","AK","S","S0AK00162","","Sid","Hill","Hill, Sid","","W","","","","","13","0.01%","","","","",NA,NA,"2010"
"125",126,"American Samoa","AS","00","H0AS00018","(I)","Eni F.H.","Faleomavaega","Faleomavaega, Eni F.H.","","D","","","","","6,182","56.41%","","","","",NA,NA,"2010"
"126",127,"American Samoa","AS","00","H4AS00036","","Aumua","Amata","Amata, Aumua","","R","","","","","4,422","40.35%","","","","",NA,NA,"2010"
"127",128,"American Samoa","AS","00","H2AS00030","","Tuika","Tuika","Tuika, Tuika","","NNE","","","","","356","3.25%","","","","",NA,NA,"2010"
"131",132,"Arizona","AZ","01","H0AZ01259","","Paul","Gosar","Gosar, Paul","","R","21,941","30.73%","","","112,816","49.72%","","","","",NA,NA,"2010"
