"","Year","Candidate","C10","M01","M10","M20","M30","M40","M50","S10","S20","S50","R10","cluster","X_first_score","X_second_score"
"43",2008,"H6NY20167",0.972555212595411,0,0,0,0.000119637259828201,0,0,0,0,0.0239274519656402,0.00339769817912091,5,-0.648646430773081,-0.0498916390667853
"44",2008,"H6NY25125",0.902615765288088,0,0,0,0.000176740897843761,0,0,0,0,0.0353481795687522,0.0618593142453164,5,-0.577292177908927,-0.0261453920173992
"45",2008,"H6OH07101",1,0,0,0,0,0,0,0,0,0,0,5,-0.678346200783401,-0.066981648528123
"46",2008,"H6OH15104",0.999863678499373,0,0,0,0.000136321500627079,0,0,0,0,0,0,5,-0.678177020497767,-0.0670715388413374
"47",2008,"H6PA04110",0.999808274857165,0,0,0,0.000191725142835231,0,0,0,0,0,0,5,-0.678108262422403,-0.0671080719687487
"48",2008,"H6TN01388",1,0,0,0,0,0,0,0,0,0,0,5,-0.678346200783401,-0.066981648528123
"49",2008,"H6TN09068",0.937027707808564,0,0,0,0.0629722921914358,0,0,0,0,0,0,5,-0.600195136344217,-0.108505539058063
"50",2008,"H6VA05068",0.0453466981803685,0.421448301392488,0.453081983085115,0.0264737876242276,0,0,0.00854287097417205,0.00056952473161147,0.0428282598171826,0,0.00170857419483441,2,0.265384726495452,0.164539014018239
"51",2008,"H6WA08068",0.992010888553981,0,0,0,0.00798911144601874,0,0,0,0,0,0,5,-0.668431402676138,-0.0722496636752846
"52",2008,"H6WY01025",1,0,0,0,0,0,0,0,0,0,0,5,-0.678346200783401,-0.066981648528123
"53",2008,"H8AL02130",1,0,0,0,0,0,0,0,0,0,0,5,-0.678346200783401,-0.066981648528123
"54",2008,"H8AL05091",1,0,0,0,0,0,0,0,0,0,0,5,-0.678346200783401,-0.066981648528123
"55",2008,"H8AZ01104",0.999760593727556,0,0,0,0.000239406272444338,0,0,0,0,0,0,5,-0.678049088285605,-0.0671395128761277
"56",2008,"H8CA37129",1,0,0,0,0,0,0,0,0,0,0,5,-0.678346200783401,-0.066981648528123
"57",2008,"H8CA49041",1,0,0,0,0,0,0,0,0,0,0,5,-0.678346200783401,-0.066981648528123
"58",2008,"H8CA52078",1,0,0,0,0,0,0,0,0,0,0,5,-0.678346200783401,-0.066981648528123
"59",2008,"H8CO04067",0.984945031256736,0,0,0,0.0150549687432636,0,0,0,0,0,0,5,-0.659662398885131,-0.0769088856076709
"60",2008,"H8CT04057",0.953804635411155,0,0,0,0.0461953645888454,0,0,0,0,0,0,5,-0.621015956176783,-0.0974428433715081
"61",2008,"H8CT05120",1,0,0,0,0,0,0,0,0,0,0,5,-0.678346200783401,-0.066981648528123
"62",2008,"H8FL06080",1,0,0,0,0,0,0,0,0,0,0,5,-0.678346200783401,-0.066981648528123
"63",2008,"H8FL15057",1,0,0,0,0,0,0,0,0,0,0,5,-0.678346200783401,-0.066981648528123
"64",2008,"H8GA01022",1,0,0,0,0,0,0,0,0,0,0,5,-0.678346200783401,-0.066981648528123
"65",2008,"H8IL01098",0.733074496481437,0,0,0,0,0.18199466148993,0.0849308420286338,0,0,0,0,5,-0.427439187213024,-0.0185042532009894
"66",2008,"H8IL08085",0.950020999580008,0,0,0,0.0499790004199916,0,0,0,0,0,0,5,-0.616320316914432,-0.0999377704988238
"67",2008,"H8IL11105",1,0,0,0,0,0,0,0,0,0,0,5,-0.678346200783401,-0.066981648528123
"68",2008,"H8IL11139",1,0,0,0,0,0,0,0,0,0,0,5,-0.678346200783401,-0.066981648528123
"69",2008,"H8IL14083",1,0,0,0,0,0,0,0,0,0,0,5,-0.678346200783401,-0.066981648528123
"70",2008,"H8IL16062",0.40241576605213,0,0,0,0.120788302606484,0,0,0,0,0.476795931341386,0,3,-0.00769067477643772,0.176921675013652
"71",2008,"H8IN07184",0.999799923170497,0,0,0,0.000200076829502529,0,0,0,0,0,0,5,-0.67809789765434,-0.0671135790657724
"72",2008,"H8IN07200",1,0,0,0,0,0,0,0,0,0,0,5,-0.678346200783401,-0.066981648528123
"73",2008,"H8KY02049",1,0,0,0,0,0,0,0,0,0,0,5,-0.678346200783401,-0.066981648528123
"74",2008,"H8LA01049",1,0,0,0,0,0,0,0,0,0,0,5,-0.678346200783401,-0.066981648528123
