"","Year","Candidate","C10","M01","M10","M20","M30","M40","M50"
"1","2008","H0CA49055","0.985207100591716","0","0","0","0.014792899408284","0","0"
"2","2008","H0FL08042","1","0","0","0","0","0","0"
"3","2008","H0IL01087","1","0","0","0","0","0","0"
"4","2008","H0IL10120","0.999887175969384","0","0","0","0.000112824030615929","0","0"
"5","2008","H0LA01087","0.255831425925602","0.72290461796516","0.0212639561092377","0","0","0","0"
"6","2008","H0MI08042","1","0","0","0","0","0","0"
"7","2008","H0MO06073","1","0","0","0","0","0","0"
"8","2008","H0VA07042","1","0","0","0","0","0","0"
"9","2008","H2CA46099","1","0","0","0","0","0","0"
"10","2008","H2CA50034","0.985507246376812","0","0","0","0.0144927536231884","0","0"
"11","2008","H2CT02112","0.998456790123457","0","0","0","0.00154320987654321","0","0"
"12","2008","H2MI00037","1","0","0","0","0","0","0"
"13","2008","H2MI11042","1","0","0","0","0","0","0"
"14","2008","H2PA06114","1","0","0","0","0","0","0"
"15","2008","H2PA18143","1","0","0","0","0","0","0"
"16","2008","H4KS02107","1","0","0","0","0","0","0"
"17","2008","H4MA00010","1","0","0","0","0","0","0"
"18","2008","H4MI07103","1","0","0","0","0","0","0"
"19","2008","H4MI08085","1","0","0","0","0","0","0"
"20","2008","H4NH02175","0.999833821896956","0","0","0","0.000166178103043718","0","0"
"21","2008","H4OH03055","0.95427435387674","0","0.0227208179494462","0","0.0116444191990912","0.0113604089747231","0"
"22","2008","H4OH05035","1","0","0","0","0","0","0"
"23","2008","H4PA15087","1","0","0","0","0","0","0"
"24","2008","H4PA21051","1","0","0","0","0","0","0"
"25","2008","H4TN06051","0.00341721031376204","0.240642406640803","0.205993483459402","0.177882774514691","0","0.372064125071342","0"
"26","2008","H4TX28046","0.0307101837016627","0.56308156018922","0.347128400878358","0.00652298839638762","0","0.0525568668343717","0"
"27","2008","H4UT02106","1","0","0","0","0","0","0"
"28","2008","H4VA02037","1","0","0","0","0","0","0"
"29","2008","H6AZ02155","1","0","0","0","0","0","0"
"30","2008","H6AZ05067","0.999774713886636","0","0","0","0.000225286113363972","0","0"
"31","2008","H6CA08132","1","0","0","0","0","0","0"
"32","2008","H6CA21028","1","0","0","0","0","0","0"
"33","2008","H6CA26183","0.83139341536415","0","0","0.16860658463585","0","0","0"
"34","2008","H6CO07023","0.99976334497676","0","0","0","0.000236655023239523","0","0"
"35","2008","H6CT05124","0.999724502727423","0","0","0","0.000275497272577001","0","0"
"36","2008","H6FL13148","1","0","0","0","0","0","0"
"37","2008","H6GA13013","0.149229700628039","0.5710765010012","0.160649777527195","0.0100846588217515","0","0.096571506624778","0.0123878553970362"
"38","2008","H6IL06117","1","0","0","0","0","0","0"
"39","2008","H6MD01205","1","0","0","0","0","0","0"
"40","2008","H6MN06124","0.999570431973607","0","0","0","0.00042956802639266","0","0"
"41","2008","H6NH01230","0.870288319527387","0","0","0.128106337892506","0.00160534258010659","0","0"
"42","2008","H6NV01158","1","0","0","0","0","0","0"
"43","2008","H6NY20167","0.999877001795774","0","0","0","0.000122998204226218","0","0"
"44","2008","H6NY25125","0.999804228660924","0","0","0","0.000195771339075959","0","0"
"45","2008","H6OH07101","1","0","0","0","0","0","0"
"46","2008","H6OH15104","0.999863678499373","0","0","0","0.000136321500627079","0","0"
"47","2008","H6PA04110","0.999808274857165","0","0","0","0.000191725142835231","0","0"
"48","2008","H6TN01388","1","0","0","0","0","0","0"
"49","2008","H6TN09068","0.937027707808564","0","0","0","0.0629722921914358","0","0"
"50","2008","H6VA05068","0.0474887424328274","0.441356275907315","0.474484239405958","0.0277243312557779","0","0","0.00894641099812125"
"51","2008","H6WA08068","0.992010888553981","0","0","0","0.00798911144601874","0","0"
"52","2008","H6WY01025","1","0","0","0","0","0","0"
"53","2008","H8AL02130","1","0","0","0","0","0","0"
"54","2008","H8AL05091","1","0","0","0","0","0","0"
"55","2008","H8AZ01104","0.999760593727556","0","0","0","0.000239406272444338","0","0"
"56","2008","H8CA37129","1","0","0","0","0","0","0"
"57","2008","H8CA49041","1","0","0","0","0","0","0"
"58","2008","H8CA52078","1","0","0","0","0","0","0"
"59","2008","H8CO04067","0.984945031256736","0","0","0","0.0150549687432636","0","0"
"60","2008","H8CT04057","0.953804635411155","0","0","0","0.0461953645888454","0","0"
"61","2008","H8CT05120","1","0","0","0","0","0","0"
"62","2008","H8FL06080","1","0","0","0","0","0","0"
"63","2008","H8FL15057","1","0","0","0","0","0","0"
"64","2008","H8GA01022","1","0","0","0","0","0","0"
"65","2008","H8IL01098","0.733074496481437","0","0","0","0","0.18199466148993","0.0849308420286338"
"66","2008","H8IL08085","0.950020999580008","0","0","0","0.0499790004199916","0","0"
"67","2008","H8IL11105","1","0","0","0","0","0","0"
"68","2008","H8IL11139","1","0","0","0","0","0","0"
"69","2008","H8IL14083","1","0","0","0","0","0","0"
"70","2008","H8IL16062","0.76913730255164","0","0","0","0.23086269744836","0","0"
"71","2008","H8IN07184","0.999799923170497","0","0","0","0.000200076829502529","0","0"
"72","2008","H8IN07200","1","0","0","0","0","0","0"
"73","2008","H8KY02049","1","0","0","0","0","0","0"
"74","2008","H8LA01049","1","0","0","0","0","0","0"
"75","2008","H8MA05200","1","0","0","0","0","0","0"
"76","2008","H8MD01094","1","0","0","0","0","0","0"
"77","2008","H8MD04130","0.725797101449275","0","0","0.274202898550725","0","0","0"
"78","2008","H8ME01138","0.108483033932136","0","0.717889221556886","2.49500998003992e-05","0","0.145084830339321","0.0285179640718563"
"79","2008","H8MI01107","0.838345864661654","0","0","0.161654135338346","0","0","0"
"80","2008","H8MN03077","1","0","0","0","0","0","0"
"81","2008","H8MN03085","0.999438404169287","0","0","0","0.000561595830712553","0","0"
"82","2008","H8MO02166","1","0","0","0","0","0","0"
"83","2008","H8MS01061","1","0","0","0","0","0","0"
"84","2008","H8NC03050","0.172571428571429","0","0.827428571428571","0","0","0","0"
"85","2008","H8NC10063","0.190611807277357","0","0","0.0194330898612879","0","0.789955102861355","0"
"86","2008","H8NJ03156","0.883720930232558","0","0","0","0.116279069767442","0","0"
"87","2008","H8NM01224","0.999796799180694","0","0","0","0.000203200819305703","0","0"
"88","2008","H8NM02032","0.999787072761496","0","0","0","0.000212927238504058","0","0"
"89","2008","H8NM02081","1","0","0","0","0","0","0"
"90","2008","H8NM03196","0.99964198255739","0","0","0","0.000358017442609804","0","0"
"91","2008","H8NY26079","0.998703453998548","0","0","0","0.00129654600145213","0","0"
"92","2008","H8OH01068","0.999734181118353","0","0","0","0.000265818881646801","0","0"
"93","2008","H8OH02066","0.364827712609971","0","0.635172287390029","0","0","0","0"
"94","2008","H8OH07081","0.42835288118307","0","0","0.57164711881693","0","0","0"
"95","2008","H8OH10051","0.654237873295356","0","0.345762126704644","0","0","0","0"
"96","2008","H8OH11067","0.0260663507109005","0.74831628835121","0.00399102020453979","0.22162634073335","0","0","0"
"97","2008","H8OH15076","1","0","0","0","0","0","0"
"98","2008","H8OH16058","0.999759666224453","0","0","0","0.00024033377554748","0","0"
"99","2008","H8OH18070","1","0","0","0","0","0","0"
"100","2008","H8OR05099","1","0","0","0","0","0","0"
"101","2008","H8PA03068","0.824863535019605","0","0.175136464980395","0","0","0","0"
"102","2008","H8PA05089","0.63898916967509","0","0.36101083032491","0","0","0","0"
"103","2008","H8PA05147","0.715707178393746","0","0.284292821606254","0","0","0","0"
"104","2008","H8PA12044","0.201092670701143","0.718488293905495","0.0174720337428938","0.0127345803533223","0","0.0502124212971453","0"
"105","2008","H8PR00062","1","0","0","0","0","0","0"
"106","2008","H8TX04113","1","0","0","0","0","0","0"
"107","2008","H8TX06134","1","0","0","0","0","0","0"
"108","2008","H8TX07074","0.999678448320214","0","0","0","0.000321551679785975","0","0"
"109","2008","H8TX22107","1","0","0","0","0","0","0"
"110","2008","H8TX28013","0.935357462901927","0","0.0381233007791734","0","0.0265192363188991","0","0"
"111","2008","H8VA10064","1","0","0","0","0","0","0"
"112","2008","H8VA11013","1","0","0","0","0","0","0"
"113","2008","H8WA04071","1","0","0","0","0","0","0"
"114","2008","H8WA05102","1","0","0","0","0","0","0"
"115","2008","H8WI01081","1","0","0","0","0","0","0"
"116","2008","P00003251","1","0","0","0","0","0","0"
"117","2008","P80002801","0.998315667492551","0","0.00168433250744896","0","0","0","0"
"118","2008","P80003338","0.991590678887373","0","0","0.00840932111262681","0","0","0"
"119","2008","P80003411","1","0","0","0","0","0","0"
"120","2008","P80004807","0.0755818248984115","0","0.871813816032508","0.0526043590690802","0","0","0"
"121","2008","P80004997","0.218104495747266","0","0.394592952612394","0.0455650060753341","0.341737545565006","0","0"
"122","2008","P80005085","1","0","0","0","0","0","0"
"123","2008","S0NH00201","1","0","0","0","0","0","0"
"124","2008","S0NH00219","0.997311049645477","0","0","0","0.00268895035452255","0","0"
"125","2008","S2MN00126","1","0","0","0","0","0","0"
"126","2008","S4IL00180","1","0","0","0","0","0","0"
"127","2008","S6AZ00019","1","0","0","0","0","0","0"
"128","2008","S6OR00094","1","0","0","0","0","0","0"
"129","2008","S6VA00093","1","0","0","0","0","0","0"
"130","2008","S8CO00172","1","0","0","0","0","0","0"
"131","2008","S8KY00233","1","0","0","0","0","0","0"
"132","2008","S8MI00299","1","0","0","0","0","0","0"
"133","2008","S8MN00438","0.989668681441683","0","0","0","0.0103313185583165","0","0"
