,,"Use of this data for non-commercial purposes is encouraged, provided that clear and visible credit is given to Center for American Women and Politics, Eagleton Institute of Politics, Rutgers University-New Brunswick. Any use of this data for publication or public presentation must credit CAWP. Commercial reproduction requires prior permission in writing from the Center for American Women and Politics.

Suggested In-Text Attribution: Center for American Women and Politics (CAWP) at the Eagleton Institute of Politics at Rutgers University-New Brunswick
Suggested Citation: Center for American Women and Politics (CAWP). Women Statewide and Congressional Candidates Database. New Brunswick, NJ: Eagleton Institute of Politics, Rutgers University-New Brunswick.
",,,,,,,,,,
State,Office,District,First Name,Middle Name,Last Name,Party,Primary Seat Status,General Seat Status,Primary Results,General Result,Race,Year
AK,U.S. Representative,AL,Diane,E.,Benson,D,C,.,L,,NA,2008
AK,U.S. Representative,AL,Gabrielle,,LeDoux,R,CP,.,L,,W,2008
AL,U.S. Representative,5,Cheryl,Baswell,Guthrie,R,O,.,L,,W,2008
AL,U.S. Representative,2,Cheryl,,Sabel,D,O,.,L,,W,2008
AL,U.S. Representative,2,Cendie,,Crawley,D,O,.,L,,B,2008
AL,U.S. Representative,2,Harri,Anne,Smith,R,O,.,L,,W,2008
AL,U.S. Senator,,Vivian,Davis,Figures,D,C,C,W,L,B,2008
AZ,U.S. Representative,8,Gabrielle,,Giffords,D,I,I,W,W,W,2008
AZ,U.S. Representative,6,Rebecca,,Schneider,D,C,C,W,L,W,2008
AZ,U.S. Representative,5,Susan,,Bitter Smith,R,C,.,L,,W,2008
AZ,U.S. Representative,5,Laura,,Knaperek,R,C,.,L,,W,2008
AZ,U.S. Representative,1,Sandra,L.,Livingstone,R,O,.,L,,W,2008
AZ,U.S. Representative,1,Mary,Kim,Titla,D,O,.,L,,NA,2008
AZ,U.S. Representative,1,Ann,,Kirkpatrick,D,O,O,W,W,W,2008
AZ,U.S. Representative,1,Sydney,Ann,Hay,R,O,O,W,L,W,2008
CA,U.S. Representative,53,Naomi,,Bar-Lev,R,C,.,L,,W,2008
CA,U.S. Representative,53,Susan,A.,Davis,D,I,I,W,W,W,2008
CA,U.S. Representative,52,Vickie,,Butcher,D,C,.,L,,B,2008
CA,U.S. Representative,50,Cheryl,Martin,Ede,D,C,.,L,,W,2008
CA,U.S. Representative,47,Rosemarie,I.,Avila,R,C,C,W,L,H,2008
CA,U.S. Representative,47,Loretta,,Sanchez,D,I,I,W,W,H,2008
CA,U.S. Representative,46,Debbie,,Cook,D,C,C,W,L,W,2008
CA,U.S. Representative,45,Mary,,Bono Mack,R,I,I,W,W,W,2008
CA,U.S. Representative,45,Julie,,Bornstein,D,C,C,W,L,W,2008
CA,U.S. Representative,43,JoAnne,T.,Gilbert,D,CP,.,L,,B,2008
CA,U.S. Representative,41,Pamela,,Zander,R,CP,.,L,,W,2008
CA,U.S. Representative,41,Beverly,,Bruins,D,C,.,L,,W,2008
CA,U.S. Representative,41,Rita,,Ramirez-Dean,D,C,.,L,,H,2008
CA,U.S. Representative,40,Christina,,Avalos,D,C,C,W,L,H,2008
CA,U.S. Representative,39,Diane,A.,Lenning,R,C,C,W,L,W,2008
CA,U.S. Representative,39,Linda,T.,Sánchez,D,I,I,W,W,H,2008
CA,U.S. Representative,38,Grace,Flores,Napolitano,D,I,IU,W,W,H,2008
CA,U.S. Representative,37,Lee,,Davis,D,CP,.,L,,B,2008
CA,U.S. Representative,37,Laura,,Richardson,D,I,IU,W,W,B,2008
CA,U.S. Representative,36,Jane,,Harman,D,I,I,W,W,W,2008
CA,U.S. Representative,35,Maxine,,Waters,D,I,I,W,W,B,2008
CA,U.S. Representative,34,Lucille,,Roybal-Allard,D,I,I,W,W,H,2008
CA,U.S. Representative,33,Felicia,,Ford,D,CP,.,L,,B,2008
CA,U.S. Representative,33,Diane,E.,Watson,D,I,I,W,W,B,2008
CA,U.S. Representative,32,Hilda,,Solis,D,I,IU,W,W,H,2008
CA,U.S. Representative,26,Cynthia,M. Rodriguez,Matthews,D,C,.,L,,H,2008
