,,"Use of this data for non-commercial purposes is encouraged, provided that clear and visible credit is given to Center for American Women and Politics, Eagleton Institute of Politics, Rutgers University-New Brunswick. Any use of this data for publication or public presentation must credit CAWP. Commercial reproduction requires prior permission in writing from the Center for American Women and Politics.

Suggested In-Text Attribution: Center for American Women and Politics (CAWP) at the Eagleton Institute of Politics at Rutgers University-New Brunswick
Suggested Citation: Center for American Women and Politics (CAWP). Women Statewide and Congressional Candidates Database. New Brunswick, NJ: Eagleton Institute of Politics, Rutgers University-New Brunswick.
",,,,,,,,,,
State,Office,District,First Name,Middle Name,Last Name,Party,Primary Seat Status,General Seat Status,Primary Results,General Result,Race,Year
AL,U.S. Representative,2,Martha,,Roby,R,I,I,W,W,W,2014
AL,U.S. Representative,7,Terri,A.,Sewell,D,I,IU,W,W,B,2014
AL,U.S. Representative,7,Tamara,Harris,Johnson,D,CP,.,L,.,B,2014
AR,U.S. Representative,2,Ann,V.,Clemmer,R,O,.,L,.,W,2014
AZ,U.S. Representative,1,Ann,,Kirkpatrick,D,I,I,W,W,W,2014
AZ,U.S. Representative,2,Martha,,McSally,R,C,C,W,W,W,2014
AZ,U.S. Representative,2,Shelley,,Kais,R,C,.,L,.,W,2014
AZ,U.S. Representative,3,Gabriela,,Saucedo Mercer,R,C,C,W,L,H,2014
AZ,U.S. Representative,7,Mary,Rose,Wilcox,D,O,.,L,.,H,2014
AZ,U.S. Representative,9,Kyrsten,,Sinema,D,I,I,W,W,W,2014
AZ,U.S. Representative,9,Wendy,,Rogers,R,C,C,W,L,W,2014
CA,U.S. Representative,1,Heidi,,Hall,D,C,C,W,L,W,2014
CA,U.S. Representative,6,Doris,O.,Matsui,D,I,I,W,W,AP,2014
CA,U.S. Representative,7,Elizabeth,,Emken,R,C,.,L,.,W,2014
CA,U.S. Representative,8,Odessia,D.,Lee,D,C,.,L,.,B,2014
CA,U.S. Representative,9,Karen,Mathews,Davis,R,C,.,L,.,W,2014
CA,U.S. Representative,11,Cheryl,,Sudduth,D,O,.,L,.,B,2014
CA,U.S. Representative,12,Nancy,,Pelosi,D,I,I,W,W,W,2014
CA,U.S. Representative,13,Barbara,,Lee,D,I,I,W,W,B,2014
CA,U.S. Representative,14,Jackie,,Speier,D,I,I,W,W,W,2014
CA,U.S. Representative,15,Ellen,M.,Corbett,D,CP,.,L,.,W,2014
CA,U.S. Representative,16,Joanna,,Garcia-Botelho,R,C,.,L,.,H,2014
CA,U.S. Representative,17,Vanila,,Singh,R,C,.,L,.,AP,2014
CA,U.S. Representative,18,Anna,G.,Eshoo,D,I,I,W,W,W,2014
CA,U.S. Representative,19,Zoe,,Lofgren,D,I,I,W,W,W,2014
CA,U.S. Representative,21,Amanda,,Renteria,D,C,C,W,L,H,2014
CA,U.S. Representative,22,Suzanna,'Sam',Aguilera-Marrero,D,C,C,W,L,H,2014
CA,U.S. Representative,24,Lois,,Capps,D,I,I,W,W,W,2014
CA,U.S. Representative,24,Sandra,,Marshall,D,CP,.,L,.,,2014
CA,U.S. Representative,24,Alexis,,Stuart,R,C,.,L,.,W,2014
CA,U.S. Representative,26,Julia,,Brownley,D,I,I,W,W,W,2014
CA,U.S. Representative,27,Judy,,Chu,D,I,I,W,W,AP,2014
CA,U.S. Representative,31,Eloise,Gomez,Reyes,D,O,.,L,.,H,2014
CA,U.S. Representative,31,Lesli,,Gooch,R,O,.,L,.,W,2014
CA,U.S. Representative,32,Grace,Flores,Napolitano,D,I,I,W,W,H,2014
CA,U.S. Representative,33,Wendy,,Greuel,D,O,.,L,.,W,2014
CA,U.S. Representative,33,Kristie,,Holmes,D,O,.,L,.,W,2014
CA,U.S. Representative,33,Barbara,L.,Mulvaney,D,O,.,L,.,W,2014
CA,U.S. Representative,33,Lily,,Gilani,R,O,.,L,.,W,2014
CA,U.S. Representative,34,Adrienne,Nicole,Edwards,D,C,C,W,L,B,2014
CA,U.S. Representative,35,Norma,Judith,Torres,D,O,O,W,W,H,2014
