CA,U.S. Representative,35,Christina,,Gagnier,D,O,O,W,L,W,2014
CA,U.S. Representative,37,Karen,,Bass,D,I,I,W,W,B,2014
CA,U.S. Representative,38,Linda,T.,Sánchez,D,I,I,W,W,H,2014
CA,U.S. Representative,40,Lucille,,Roybal-Allard,D,I,I,W,W,H,2014
CA,U.S. Representative,41,Yvonne,Terrell,Girard,R,C,.,L,.,B,2014
CA,U.S. Representative,41,Veronica,,Franco,D,CP,.,L,.,,2014
CA,U.S. Representative,42,Kerri,,Condley,D,C,.,L,.,W,2014
CA,U.S. Representative,43,Maxine,,Waters,D,I,I,W,W,B,2014
CA,U.S. Representative,44,Janice,,Hahn,D,IU,IU,W,W,W,2014
CA,U.S. Representative,45,Mimi,,Walters,R,O,O,W,W,W,2014
CA,U.S. Representative,46,Loretta,,Sanchez,D,I,I,W,W,H,2014
CA,U.S. Representative,48,Suzanne,Joyce,Savary,D,C,C,W,L,W,2014
CA,U.S. Representative,48,Wendy,Brooks,Leece,R,CP,.,L,.,W,2014
CA,U.S. Representative,53,Susan,A.,Davis,D,I,I,W,W,W,2014
CO,U.S. Representative,1,Diana,,DeGette,D,I,I,W,W,W,2014
CO,U.S. Representative,4,Barbara,J.,Kirkmeyer,R,O,.,L,.,W,2014
CT,U.S. Representative,2,Lori,,Hopkins-Cavanaugh,R,C,C,W,L,W,2014
CT,U.S. Representative,3,Rosa,L.,DeLauro,D,I,I,W,W,W,2014
CT,U.S. Representative,5,Elizabeth,,Esty,D,I,I,W,W,W,2014
DE,U.S. Representative,AL,Rose,,Izzo,R,C,C,W,L,W,2014
FL,U.S. Representative,2,Gwen,,Graham,D,C,C,W,W,W,2014
FL,U.S. Representative,3,Marihelen,,Wheeler,D,C,C,W,L,W,2014
FL,U.S. Representative,5,Corrine,,Brown,D,I,I,W,W,B,2014
FL,U.S. Representative,5,Thuy,"""Twee""",Lowe,R,C,.,L,.,AP,2014
FL,U.S. Representative,5,Gloreatha,"""Glo""",Smith,R,C,C,W,L,B,2014
FL,U.S. Representative,9,Carol,,Platt,R,C,C,W,L,W,2014
FL,U.S. Representative,14,Kathy,Anne,Castor,D,IU,IU,W,W,W,2014
FL,U.S. Representative,18,Beverly,,Hires,R,C,.,L,.,W,2014
FL,U.S. Representative,19,April,,Freeman,D,C,C,W,L,W,2014
FL,U.S. Representative,20,Jean,L.,Enright,D,CP,.,L,.,B,2014
FL,U.S. Representative,22,Lois,J.,Frankel,D,I,I,W,W,W,2014
FL,U.S. Representative,22,Andrea,Leigh,McGee,R,C,.,L,.,W,2014
FL,U.S. Representative,23,Debbie,,Wasserman Schultz,D,I,I,W,W,W,2014
FL,U.S. Representative,24,Frederica,S.,Wilson,D,I,I,W,W,B,2014
FL,U.S. Representative,27,Ileana,,Ros-Lehtinen,R,IU,IU,W,W,H,2014
GA,U.S. Senator,,Steen,,Miles,D,O,.,L,.,B,2014
GA,U.S. Senator,,Karen,,Handel,R,O,.,L,.,W,2014
GA,U.S. Senator,,Michelle,,Nunn,D,O,O,W,L,W,2014
GA,U.S. Representative,1,Amy,L.,Tavio,D,O,.,L,.,W,2014
GA,U.S. Representative,2,Vivian,L.,Childs,R,O,.,L,.,B,2014
GA,U.S. Representative,10,Donna,,Sheldon,R,O,.,L,.,W,2014
GA,U.S. Representative,11,Tricia,,Pridemore,R,O,.,L,.,W,2014
GA,U.S. Representative,12,Diane,,Vann,R,C,.,L,.,W,2014
HI,U.S. Senator,,Colleen,,Hanabusa,D,C,.,L,.,AP,2014
HI,U.S. Representative,1,Donna,Mercado,Kim,D,O,.,L,.,AP,2014
HI,U.S. Representative,1,Kathryn,,Xian,D,O,.,L,.,AP,2014
HI,U.S. Representative,2,Tulsi,,Gabbard,D,I,I,W,W,AP,2014
HI,U.S. Representative,2,Marissa,,Capelouto,R,C,.,L,.,AP,2014
IA,U.S. Senator,,Joni,,Ernst,R,O,O,W,W,W,2014
IA,U.S. Representative,1,Swati,A.,Dandekar,D,O,.,L,.,AP,2014
IA,U.S. Representative,1,Anesa,,Kajtazovic,D,O,.,L,.,W,2014
IA,U.S. Representative,1,Monica,,Vernon,D,O,.,L,.,W,2014
IA,U.S. Representative,2,Mariannette,,Miller-Meeks,R,C,C,W,L,W,2014
IA,U.S. Representative,3,Staci,,Appel,D,O,O,W,L,W,2014
ID,U.S. Representative,1,Shirley,G.,Ringo,D,C,C,W,L,W,2014
ID,U.S. Representative,1,Lisa,,Marie,R,CP,.,L,.,W,2014
IL,U.S. Representative,2,Robin,,Kelly,D,I,I,W,W,B,2014
IL,U.S. Representative,3,Diane,M.,Harris,R,C,.,L,.,B,2014
IL,U.S. Representative,3,Sharon,M.,Brannigan,R,C,C,W,L,W,2014
IL,U.S. Representative,4,Alexandra,,Eidenberg,D,CP,.,L,.,W,2014
IL,U.S. Representative,8,Tammy,,Duckworth,D,I,I,W,W,AP,2014
IL,U.S. Representative,8,Manju,,Goel,R,C,.,L,.,AP,2014
IL,U.S. Representative,9,Janice,D.,Schakowsky,D,I,I,W,W,W,2014
IL,U.S. Representative,9,Susanne,,Atanus,R,C,C,W,L,W,2014
IL,U.S. Representative,11,Darlene,J.,Senger,R,C,C,W,L,W,2014
IL,U.S. Representative,13,Ann,E.,Callis,D,C,C,W,L,W,2014
IL,U.S. Representative,13,Erika,,Harold,R,CP,.,L,.,B,2014
IL,U.S. Representative,17,Cheri,,Bustos,D,I,I,W,W,W,2014
IN,U.S. Representative,2,Jackie,Swihart,Walorski,R,I,I,W,W,W,2014
IN,U.S. Representative,5,Susan,W.,Brooks,R,I,I,W,W,W,2014
IN,U.S. Representative,6,Susan,Hall,Heitzman,D,C,C,W,L,W,2014
IN,U.S. Representative,6,Corinne,Nicole,Westerfield,D,C,.,L,.,W,2014
IN,U.S. Representative,7,Catherine,'Cat',Ping,R,C,C,W,L,W,2014
IN,U.S. Representative,9,Kathy,Lowe,Heil,R,CP,.,L,.,W,2014
KS,U.S. Representative,2,Lynn,,Jenkins,R,I,I,W,W,W,2014
KS,U.S. Representative,2,Margie,,Wakefield,D,C,C,W,L,W,2014
KS,U.S. Representative,3,Kelly,,Kultala,D,C,C,W,L,W,2014
KS,U.S. Senator,,D.J. ,,Smith,R,C,.,L,.,W,2014
KY,U.S. Senator,,Alison,Lundergan,Grimes,D,C,C,W,L,W,2014
KY,U.S. Senator,,Shawna,,Sterling,R,CP,.,L,.,W,2014
KY,U.S. Representative,6,Elisabeth,,Jensen,D,C,C,W,L,W,2014
LA,U.S. Senator,,Mary,,Landrieu,D,I,I,W,L,W,2014
LA,U.S. Representative,1,Lee,A.,Dugas,D,C,.,L,.,W,2014
LA,U.S. Representative,6,Lenar,,Whitney,R,O,.,L,.,W,2014
LA,U.S. Senate,,Vallian,,Senegal,D,CP,,L,,B,2014
MA,U.S. Representative,3,Niki,,Tsongas,D,I,I,W,W,W,2014
MA,U.S. Representative,3,Roseann,Ehrhard,Wofford,R,C,C,W,L,W,2014
MA,U.S. Representative,5,Katherine,M.,Clark,D,I,I,W,W,W,2014
MA,U.S. Representative,6,Marisa,A.,DeFranco,D,C,.,L,.,W,2014
MD,U.S. Representative,4,Donna,,Edwards,D,I,I,W,W,B,2014
MD,U.S. Representative,4,Nancy,,Hoyt,R,C,C,W,L,W,2014
MD,U.S. Representative,8,Lih,,Young,D,CP,.,L,.,AP,2014
ME,U.S. Senator,,Susan,M.,Collins,R,I,I,W,W,W,2014
ME,U.S. Senator,,Shenna,,Bellows,D,C,C,W,L,W,2014
ME,U.S. Representative,1,Chellie,,Pingree,D,I,I,W,W,W,2014
ME,U.S. Representative,2,Emily,Ann,Cain,D,O,O,W,L,W,2014
MI,U.S. Senator,,Terri,Lynn,Land,R,O,O,W,L,W,2014
MI,U.S. Representative,7,Pam,,Byrnes,D,C,C,W,L,W,2014
MI,U.S. Representative,8,Susan,,Grettenberger,D,O,.,L,.,W,2014
MI,U.S. Representative,10,Candice,S.,Miller,R,I,I,W,W,W,2014
MI,U.S. Representative,11,Nancy,,Skinner,D,C,.,L,.,W,2014
MI,U.S. Representative,12,Debbie,,Dingell,D,O,O,W,W,W,2014
MI,U.S. Representative,14,Brenda,,Lawrence,D,O,O,W,W,B,2014
MI,U.S. Representative,14,Christina,L.,Barr,R,O,O,W,L,B,2014
MN,U.S. Senator,,Sandra,,Henningsgard,DFL,CP,.,L,.,,2014
MN,U.S. Representative,3,Sharon,,Sund,DFL,C,C,W,L,B,2014
MN,U.S. Representative,4,Betty,,McCollum,D,I,I,W,W,W,2014
MN,U.S. Representative,4,Sharna,,Walhgren,R,C,C,W,L,W,2014
MN,U.S. Representative,6,Rhonda,,Sivarajah,R,O,.,L,.,W,2014
MO,U.S. Representative,2,Ann,,Wagner,R,I,I,W,W,W,2014
MO,U.S. Representative,3,Velma,,Steinman,D,C,.,L,.,W,2014
MO,U.S. Representative,3,Courtney,,Denton,D,C,C,W,L,W,2014
MO,U.S. Representative,4,Vicky,,Hartzler,R,I,I,W,W,W,2014
MO,U.S. Representative,7,Genevieve,,Williams,D,C,.,L,.,W,2014
MO,U.S. Representative,8,Barbara,Hamill,Stocker,D,C,C,W,L,W,2014
MS,U.S. Representative,4,Trish,,Causey,D,C,.,L,.,W,2014
MT,U.S. Senator,,Amanda,,Curtis,D,O,O,W,L,W,2014
MT,U.S. Senator,,Susan,,Cundiff,R,O,.,L,.,W,2014
MT,U.S. Representative,AL,Elsie,,Arntzen,R,O,.,L,.,W,2014
NC,U.S. Senator,,Kay,R.,Hagan,D,I,I,W,L,W,2014
NC,U.S. Senator,,Heather,,Grant,R,C,.,L,.,W,2014
NC,U.S. Representative,2,Renee,,Ellmers,R,I,I,W,W,W,2014
NC,U.S. Representative,2,Antoinette,"""Toni""",Morris,D,C,.,L,.,B,2014
NC,U.S. Representative,5,Virginia,,Foxx,R,I,I,W,W,W,2014
NC,U.S. Representative,5,Gardenia,,Henley,D,C,.,L,.,B,2014
NC,U.S. Representative,6,Laura,,Fjeld,D,O,O,W,L,W,2014
NC,U.S. Representative,12,Alma,S.,Adams,D,O,O,W,W,B,2014
NC,U.S. Representative,13,Brenda,,Cleary,D,C,C,W,L,W,2014
NC,U.S. Representative,13,Virginia,,Conlon,D,C,.,L,.,W,2014
NE,U.S. Representative,2,Jessica,Lynn,Turek,R,CP,.,L,.,W,2014
NH,U.S. Senator,,Jeanne,,Shaheen,D,I,I,W,W,W,2014
NH,U.S. Representative,1,Carol,,Shea-Porter,D,I,I,W,L,W,2014
NH,U.S. Representative,2,Marilinda,,Garcia,R,C,C,W,L,H,2014
NH,U.S. Representative,2,Ann,McLane,Kuster,D,I,I,W,W,W,2014
NJ,U.S. Representative,1,Claire,,Gustafson,R,O,.,L,.,W,2014
NJ,U.S. Representative,3,Aimee,,Belgard,D,O,O,W,L,W,2014
NJ,U.S. Representative,5,Diane,,Sare,D,C,.,L,.,W,2014
NJ,U.S. Representative,7,Janice,L,Kovach,D,C,C,W,L,W,2014
NJ,U.S. Representative,9,Dierdre,G.,Paul,R,C,C,W,L,B,2014
NJ,U.S. Representative,10,Yolanda,,Dentley,R,C,C,W,L,B,2014
NJ,U.S. Representative,11,Lee,Anne,Brogowski,D,C,.,L,.,W,2014
NJ,U.S. Representative,12,Bonnie,,Watson Coleman,D,O,O,W,W,B,2014
NJ,U.S. Representative,12,Linda,R.,Greenstein,D,O,.,L,.,W,2014
NJ,U.S. Representative,12,Alieta,,Eck,R,O,O,W,L,W,2014
NM,U.S. Representative,1,Michelle,,Lujan Grisham,D,I,I,W,W,H,2014
NM,U.S. Representative,2,Roxanne,"""Rocky""",Lara,D,C,C,W,L,H,2014
NV,U.S. Representative,1,Dina,,Titus,D,I,I,W,W,W,2014
NV,U.S. Representative,1,Annette,,Teijeiro,R,C,C,W,L,H,2014
NV,U.S. Representative,2,Kristen,,Spees,D,C,C,W,L,W,2014
NV,U.S. Representative,3,Erin,,Bilbray,D,C,C,W,L,W,2014
NY,U.S. Representative,2,Patricia,M.,Maher,D,C,C,W,L,W,2014
NY,U.S. Representative,4,Kathleen,M.,Rice,D,O,O,W,W,W,2014
NY,U.S. Representative,6,Grace,,Meng,D,IU,IU,W,W,AP,2014
NY,U.S. Representative,7,Nydia,,Velazquez,D,I,I,W,W,H,2014
NY,U.S. Representative,9,Yvette,D.,Clarke,D,I,I,W,W,B,2014
NY,U.S. Representative,12,Carolyn,,Maloney,D,I,I,W,W,W,2014
NY,U.S. Representative,13,Yolanda,,Garcia,D,CP,.,L,.,H,2014
NY,U.S. Representative,17,Nita,,Lowey,D,I,I,W,W,W,2014
NY,U.S. Representative,18,Nan,,Hayworth,R,C,C,W,L,W,2014
NY,U.S. Representative,21,Elise,,Stefanik,R,O,O,W,W,W,2014
NY,U.S. Representative,22,Claudia,,Tenney,R,CP,.,L,.,W,2014
NY,U.S. Representative,23,Martha,,Robertson,D,C,C,W,L,W,2014
NY,U.S. Representative,25,Louise,,Slaughter,D,I,I,W,W,W,2014
NY,U.S. Representative,26,Kathleen,A.,Weppner,R,C,C,W,L,W,2014
OH,U.S. Representative,3,Joyce,,Beatty,D,I,I,W,W,B,2014
OH,U.S. Representative,4,Janet,,Garrett,D,C,C,W,L,W,2014
OH,U.S. Representative,6,Jennifer,D.,Garrison,D,C,C,W,L,W,2014
OH,U.S. Representative,9,Marcy,,Kaptur,D,I,I,W,W,W,2014
OH,U.S. Representative,11,Marcia,,Fudge,D,I,I,W,W,B,2014
OK,U.S. Senator,,Evelyn,L.,Rogers,R,CP,.,L,.,W,2014
OK,U.S. Senator,,Constance,"""Connie""",Johnson,D,O,O,W,L,B,2014
OK,U.S. Senator,,D. Jean,,McBride-Samuels,R,CP,.,L,.,NA/W/B,2014
OK,U.S. Representative,4,Anna,,Flatt,R,CP,.,L,.,,2014
OK,U.S. Representative,5,Patrice,,Douglas,R,O,.,L,.,W,2014
OK,U.S. Representative,5,Leona,,Leonard,D,C,.,L,.,,2014
OR,U.S. Senator,,Jo,Rae,Perkins,R,C,.,L,.,W,2014
OR,U.S. Senator,,Monica,,Wehby,R,C,C,W,L,W,2014
OR,U.S. Representative,1,Suzanne,,Bonamici,D,I,I,W,W,W,2014
OR,U.S. Representative,1,Delinda,Delgado,Morgan,R,C,.,L,.,H,2014
OR,U.S. Representative,2,Aelea,,Christofferson,D,C,C,W,L,W,2014
OR,U.S. Representative,5,Tootie,,Smith,R,C,C,W,L,W,2014
OR,U.S. Representative,5,Anita,,Brown,D,CP,.,L,.,W,2014
PA,U.S. Representative,1,Megan,,Rath,R,C,C,W,L,W,2014
PA,U.S. Representative,4,Linda,Delilah,Thompson,D,C,C,W,L,B,2014
PA,U.S. Representative,7,Mary,Ellen,Balchunis,D,C,C,W,L,W,2014
PA,U.S. Representative,8,Shaughnessy,,McNaughton,D,C,.,L,.,W,2014
PA,U.S. Representative,9,Alanna,,Hartzok,D,C,C,W,L,W,2014
PA,U.S. Representative,12,Erin,,McClelland,D,C,C,W,L,W,2014
PA,U.S. Representative,13,Marjorie,,Margolies,D,O,.,L,.,W,2014
PA,U.S. Representative,13,Bev,,Plosa-Bowser,R,O,.,L,.,,2014
PA,U.S. Representative,13,Val,,Arkoosh,D,O,.,L,.,,2014
PA,U.S. Representative,14,Janis,,Brooks,D,CP,.,L,.,B,2014
SC,U.S. Senator,,Joyce,,Dickerson,D,C,C,W,L,B,2014
SC,U.S. Senator,,Nancy,,Mace,R,CP,.,L,.,W,2014
SC,U.S. Representative,3,Barbara,Jo,Mullis,D,C,C,W,L,W,2014
SC,U.S. Representative,6,Karen,,Smith,D,CP,.,L,.,,2014
SC,U.S. Representative,7,Gloria,,Bromell-Tinubu,D,C,C,W,L,B,2014
SD,U.S. Senator,,Annette,,Bosworth,R,O,.,L,.,W,2014
SD,U.S. Representative,AL,Kristi,L.,Noem,R,I,I,W,W,W,2014
SD,U.S. Representative,AL,Corinna,,Robinson,D,C,C,W,L,W,2014
TN,U.S. Senator,,Brenda,S.,Lenard,R,CP,.,L,.,B,2014
TN,U.S. Representative,3,Mary,,Headrick,D,C,C,W,L,W,2014
TN,U.S. Representative,4,Lenda,,Sherrell,D,C,C,W,L,W,2014
TN,U.S. Representative,6,Diane,L.,Black,R,I,I,W,W,W,2014
TN,U.S. Representative,7,Marsha,,Blackburn,R,I,I,W,W,W,2014
TN,U.S. Representative,8,Dana,,Matheny,R,CP,,L,,,2014
TN,U.S. Representative,9,Charlotte,,Bergmann,R,C,C,W,L,B,2014
TX,U.S. Senator,,Kesha,,Rogers,D,C,.,L,.,B,2014
TX,U.S. Senator,,Linda,,Vega,R,CP,.,L,.,H,2014
TX,U.S. Senator,,Maxey,,Scherr,D,C,.,L,.,W,2014
TX,U.S. Representative,1,Shirley,J.,McKellar,D,C,C,W,L,B,2014
TX,U.S. Representative,3,Cami,,Dean,R,CP,.,L,.,,2014
TX,U.S. Representative,7,Lissa,,Squiers,D,C,.,L,.,W,2014
TX,U.S. Representative,10,Tawana,,Walter-Cadien,D,C,C,W,L,B,2014
TX,U.S. Representative,12,Kay,,Granger,R,I,I,W,W,W,2014
TX,U.S. Representative,13,Pamela,"""Pam""",Barlow,R,CP,.,L,.,W,2014
TX,U.S. Representative,13,Elaine,,Hays,R,CP,.,L,.,W,2014
TX,U.S. Representative,18,Sheila,,Jackson Lee,D,I,I,W,W,B,2014
TX,U.S. Representative,30,Eddie,Bernice,Johnson,D,I,I,W,W,B,2014
TX,U.S. Representative,30,Barbara,Mallory,Caraway,D,CP,.,L,.,B,2014
TX,U.S. Representative,32,Katrina,,Pierson,R,CP,.,L,.,B,2014
TX,U.S. Representative,35,Susan,,Narvaiz,R,C,C,W,L,W,2014
TX,U.S. Representative,36,Pat,,Kasprzak,R,O,.,L,.,W,2014
UT,U.S. Representative,1,Donna,,McAleer,D,C,C,W,L,W,2014
UT,U.S. Representative,2,Luz,,Escamilla,D,C,C,W,L,H,2014
UT,U.S. Representative,4,Mia,,Love,R,O,O,W,W,B,2014
VA,U.S. Representative,2,Suzanne,,Patrick,D,C,C,W,L,W,2014
VA,U.S. Representative,8,Lavern,,Chatman,D,O,.,L,.,B,2014
VA,U.S. Representative,10,Barbara,J.,Comstock,R,O,O,W,W,W,2014
VA,U.S. Representative,11,Suzanne,,Scholte,R,C,C,W,L,W,2014
VA,U.S. Representative,8,Charniele ,L. ,Herring,D,O,,WD,,,2014
WA,U.S. Representative,1,Suzan,,DelBene,D,I,I,W,W,W,2014
WA,U.S. Representative,3,Jaime,,Herrera Beutler,R,I,I,W,W,H,2014
WA,U.S. Representative,4,Janéa,,Holmquist Newbry,R,O,.,L,.,W,2014
WA,U.S. Representative,5,Cathy,,McMorris Rodgers,R,I,I,W,W,W,2014
WA,U.S. Representative,10,Joyce,,McDonald,R,C,C,W,L,W,2014
WI,U.S. Representative,3,Karen,L.,Mueller,R,C,.,L,.,W,2014
WI,U.S. Representative,4,Gwendolynne,S.,Moore,D,I,I,W,W,B,2014
WI,U.S. Representative,7,Kelly,,Westlund,D,C,C,W,L,W,2014
WV,U.S. Senator,,Shelley,Moore,Capito,R,O,O,W,W,W,2014
WV,U.S. Senator,,Natalie,E.,Tennant,D,O,O,W,L,W,2014
WV,U.S. Representative,2,Charlotte,,Lane,R,O,.,L,.,W,2014
WV,U.S. Representative,2,Meshea,L.,Poore,D,O,.,L,.,B,2014
WY,U.S. Representative,AL,Cynthia,M.,Lummis,R,I,I,W,W,W,2014
PA,U.S. Representative,5,Kerith,Strano,Taylor,D,C,C,W,L,,2014
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
