,,"Use of this data for non-commercial purposes is encouraged, provided that clear and visible credit is given to Center for American Women and Politics, Eagleton Institute of Politics, Rutgers University-New Brunswick. Any use of this data for publication or public presentation must credit CAWP. Commercial reproduction requires prior permission in writing from the Center for American Women and Politics.

Suggested In-Text Attribution: Center for American Women and Politics (CAWP) at the Eagleton Institute of Politics at Rutgers University-New Brunswick
Suggested Citation: Center for American Women and Politics (CAWP). Women Statewide and Congressional Candidates Database. New Brunswick, NJ: Eagleton Institute of Politics, Rutgers University-New Brunswick.
",,,,,,,,,,
State,Office,District,First Name,Middle Name,Last Name,Party,Primary Seat Status,General Seat Status,Primary Results,General Result,Race,Year
AK,U.S. Representative,AL,Sharon,M.,Cissna,D,C,C,W,L,W,2012
AK,U.S. Representative,AL,Debra,,Chesnut,D,C,.,L,,W,2012
AL,U.S. Representative,2,Martha,,Roby,R,I,I,W,W,W,2012
AL,U.S. Representative,2,Terese,,Ford,D,C,C,W,L,W,2012
AL,U.S. Representative,6,Penny,H.,Bailey,D,C,C,W,L,W,2012
AL,U.S. Representative,7,Terri,A.,Sewell,D,I,I,W,W,B,2012
AR,U.S. Representative,4,Beth,Anne,Rankin,R,O,.,L,,W,2012
AZ,U.S. Representative,1,Ann,,Kirkpatrick,D,O,O,W,W,W,2012
AZ,U.S. Representative,1,Wenona,,Benally Baldenegro,D,O,.,L,,NA,2012
AZ,U.S. Representative,2,Martha,,McSally,R,C,C,W,L,W,2012
AZ,U.S. Representative,3,Amanda,,Aguirre,D,CP,.,L,,H,2012
AZ,U.S. Representative,3,Gabriela,,Saucedo Mercer,R,C,C,W,L,H,2012
AZ,U.S. Representative,7,Rebecca,,DeWitt,D,CP,.,L,,W,2012
AZ,U.S. Representative,9,Kyrsten,,Sinema,D,O,O,W,W,W,2012
AZ,U.S. Representative,9,Wendy,,Rogers,R,O,.,L,,W,2012
AZ,U.S. Representative,9,Leah,Campos,Schandlbauer,R,O,.,L,,H,2012
AZ,U.S. Representative,9,Lisa,,Borowsky,R,O,.,L,,W,2012
CA,U.S. Representative,53,Susan,A.,Davis,D,I,I,W,W,W,2012
CA,U.S. Representative,52,Shirley,,DeCourt-Park,D,C,.,L,,W,2012
CA,U.S. Representative,52,Lori,,Saldaña,D,C,.,L,,H,2012
CA,U.S. Representative,51,Xanthi,,Gionis,R,O,.,L,,W,2012
CA,U.S. Representative,51,Denise,Moreno,Ducheny,D,O,.,L,,H,2012
CA,U.S. Representative,50,Terri,R.,Linnell,R,CP,.,L,,W,2012
CA,U.S. Representative,50,Connie,,Frankowiak,D,C,.,L,,W,2012
CA,U.S. Representative,47,Usha,,Shah,D,O,.,L,,W,2012
CA,U.S. Representative,46,Loretta,,Sanchez,D,I,I,W,W,H,2012
CA,U.S. Representative,44,Laura,,Richardson,D,I,I,W,L,B,2012
CA,U.S. Representative,44,Janice,,Hahn,D,I,I,W,W,W,2012
CA,U.S. Representative,43,Maxine,,Waters,D,I,I,W,W,B,2012
CA,U.S. Representative,42,Eva,,Johnson,R,CP,.,L,,B,2012
CA,U.S. Representative,41,Anna,,Nevenic,D,O,.,L,,W,2012
CA,U.S. Representative,40,Lucille,,Roybal-Allard,D,I,I,W,W,H,2012
CA,U.S. Representative,38,Linda,T.,Sánchez,D,I,I,W,W,H,2012
CA,U.S. Representative,37,Karen,,Bass,D,I,IU,W,W,B,2012
CA,U.S. Representative,36,Mary,,Bono Mack,R,I,I,W,L,W,2012
CA,U.S. Senator,,Dianne,,Feinstein,D,I,I,W,W,W,2012
CA,U.S. Senator,,Colleen,Shea,Fernald,D,CP,.,L,,W,2012
CA,U.S. Senator,,Orly,,Taitz,R,C,.,L,,W,2012
CA,U.S. Senator,,Elizabeth,,Emken,R,C,C,W,L,W,2012
CA,U.S. Senator,,Diane,,Stewart,D,CP,.,L,,B,2012
CA,U.S. Representative,2,Susan,L.,Adams,D,O,.,L,,W,2012
CA,U.S. Representative,2,Stacey,,Lawson,D,O,.,L,,W,2012
