CA,U.S. Representative,2,Tiffany,,Renée,D,O,.,L,,H,2012
CA,U.S. Representative,3,Kim,,Vann,R,C,C,W,L,W,2012
CA,U.S. Representative,6,Doris,O.,Matsui,D,I,I,W,W,AP,2012
CA,U.S. Representative,8,Jacquese,"""Jackie""",Conaway,D,O,.,L,,W,2012
CA,U.S. Representative,8,Angela,,Valles,R,O,.,L,,H,2012
CA,U.S. Representative,11,Virginia,,Fuller,R,C,C,W,L,B,2012
CA,U.S. Representative,11,Cheryl,,Sudduth,D,CP,.,L,,B,2012
CA,U.S. Representative,12,Nancy,,Pelosi,D,I,I,W,W,W,2012
CA,U.S. Representative,13,Barbara,,Lee,D,I,I,W,W,B,2012
CA,U.S. Representative,14,Jackie,,Speier,D,I,I,W,W,W,2012
CA,U.S. Representative,14,Deborah,"""Debbie""",Bacigalupi,R,C,C,W,L,W,2012
CA,U.S. Representative,16,Loraine,,Goodwin,D,CP,.,L,,B,2012
CA,U.S. Representative,17,Evelyn,,Li,R,C,C,W,L,AP,2012
CA,U.S. Representative,18,Anna,G.,Eshoo,D,I,I,W,W,W,2012
CA,U.S. Representative,19,Zoe,,Lofgren,D,I,I,W,W,W,2012
CA,U.S. Representative,24,Lois,,Capps,D,I,I,W,W,W,2012
CA,U.S. Representative,25,Cathie,,Wright,R,CP,.,L,,W,2012
CA,U.S. Representative,26,Julia,,Brownley,D,O,O,W,W,W,2012
CA,U.S. Representative,27,Judy,,Chu,D,I,I,W,W,AP,2012
CA,U.S. Representative,28,Massie,,Munroe,D,CP,.,L,,W,2012
CA,U.S. Representative,28,Jenny,,Worman,R,C,.,L,,W,2012
CA,U.S. Representative,30,Susan,,Shelley,R,C,.,L,,W,2012
CA,U.S. Representative,31,Rita,,Ramirez-Dean,D,C,.,L,,H,2012
CA,U.S. Representative,31,Renea,,Wickman,D,C,.,L,,B,2012
CA,U.S. Representative,32,Grace,Flores,Napolitano,D,I,I,W,W,H,2012
CA,U.S. Representative,35,Gloria,,Negrete McLeod,D,O,O,W,W,H,2012
CO,U.S. Representative,1,Diana,,DeGette,D,I,I,W,W,W,2012
CT,U.S. Representative,5,Lisa,,Wilson-Foley,R,O,.,L,,W,2012
CT,U.S. Representative,5,Elizabeth,,Esty,D,O,O,W,W,W,2012
CT,U.S. Representative,3,Rosa,L.,DeLauro,D,I,I,W,W,W,2012
CT,U.S. Representative,2,Daria,,Novak,R,C,.,L,,W,2012
CT,U.S. Senator,,Linda,E.,McMahon,R,O,O,W,L,W,2012
CT,U.S. Senator,,Susan,,Bysiewicz,D,O,.,L,,W,2012
DE,U.S. Representative,AL,Rose,,Izzo,R,C,.,L,,W,2012
FL,U.S. Representative,27,Ileana,,Ros-Lehtinen,R,I,I,W,W,H,2012
FL,U.S. Representative,26,Gloria,,Romero Roses,D,C,.,L,,H,2012
FL,U.S. Representative,24,Frederica,S.,Wilson,D,I,I,W,W,B,2012
FL,U.S. Representative,23,Gineen,,Bresso,R,C,.,L,,W,2012
FL,U.S. Representative,23,Karen,,Harrington,R,C,C,W,L,W,2012
FL,U.S. Representative,23,Debbie,,Wasserman Schultz,D,I,I,W,W,W,2012
FL,U.S. Representative,22,Kristin,,Jacobs,D,O,.,L,,W,2012
FL,U.S. Representative,22,Lois,J.,Frankel,D,O,O,W,W,W,2012
FL,U.S. Representative,14,Kathy,Anne,Castor,D,I,I,W,W,W,2012
FL,U.S. Representative,13,Madeline,,Vance,R,CP,.,L,,W,2012
FL,U.S. Representative,13,Jessica,,Ehrlich,D,C,C,W,L,W,2012
FL,U.S. Representative,10,Val,B.,Demings,D,C,C,W,L,B,2012
FL,U.S. Representative,8,Shannon,,Roberts,D,C,C,W,L,W,2012
FL,U.S. Representative,7,Sandra,"""Sandy""",Adams,R,I,.,L,,W,2012
FL,U.S. Representative,6,Beverly,,Slough,R,O,.,L,,,2012
FL,U.S. Representative,6,Heather,,Beaven,D,O,O,W,L,W,2012
FL,U.S. Representative,5,LeAnne,,Kolb,R,C,C,W,L,W,2012
FL,U.S. Representative,5,Corrine,,Brown,D,I,I,W,W,B,2012
FL,U.S. Representative,4,Deborah,Katz,Pueschel,R,CP,.,L,,W,2012
FL,U.S. Senator,,Marielena,,Stuart,R,O,.,L,,H,2012
GA,U.S. Representative,12,Maria,,Sheffield,R,C,.,L,,W,2012
GA,U.S. Representative,9,Martha,,Zoller,R,O,.,L,,W,2012
GA,U.S. Representative,1,Lesli,Rae,Messinger,D,C,C,W,L,W,2012
HI,U.S. Representative,2,Esther,,Kia'aina,D,O,.,L,,AP,2012
HI,U.S. Representative,2,Tulsi,,Gabbard,D,O,O,W,W,AP,2012
HI,U.S. Representative,1,Colleen,,Hanabusa,D,I,I,W,W,AP,2012
HI,U.S. Senator,,Linda,Crocket,Lingle,R,O,O,W,L,W,2012
HI,U.S. Senator,,Mazie,,Hirono,D,O,O,W,W,AP,2012
IA,U.S. Representative,4,Christie,,Vilsack,D,C,C,W,L,W,2012
ID,U.S. Representative,2,Nicole,,LeFavour,D,C,C,W,L,W,2012
ID,U.S. Representative,1,Cynthia,,Clinkingbeard,D,C,.,L,,W,2012
IL,U.S. Representative,17,Cheri,,Bustos,D,C,C,W,W,W,2012
IL,U.S. Representative,16,Wanda,,Rohl,D,C,C,W,L,W,2012
IL,U.S. Representative,15,Angela,,Michael,D,C,C,W,L,W,2012
IL,U.S. Representative,12,Theresa,,Kormos,R,O,.,L,,W,2012
IL,U.S. Representative,11,Judy,,Biggert,R,I,I,W,L,W,2012
IL,U.S. Representative,9,Janice,D.,Schakowsky,D,I,I,W,W,W,2012
IL,U.S. Representative,8,Tammy,,Duckworth,D,C,C,W,W,AP,2012
IL,U.S. Representative,7,Rita,,Zak,R,C,C,W,L,W,2012
IL,U.S. Representative,6,Maureen,E.,Yates,D,C,.,L,,W,2012
IL,U.S. Representative,6,Leslie,,Coolidge,D,C,C,W,L,W,2012
IL,U.S. Representative,3,Farah,,Baqai,D,CP,.,L,,W,2012
IL,U.S. Representative,2,Deborah,"""Debbie""",Halvorson,D,CP,.,L,,W,2012
IN,U.S. Representative,9,Shelli,,Yoder,D,C,C,W,L,W,2012
IN,U.S. Representative,8,Kristi,,Risk,R,CP,.,L,,W,2012
IN,U.S. Representative,7,Catherine,'Cat',Ping,R,C,.,L,,W,2012
IN,U.S. Representative,6,Susan,Hall,Heitzman,D,O,.,L,,W,2012
IN,U.S. Representative,5,Susan,W.,Brooks,R,O,O,W,W,W,2012
IN,U.S. Representative,4,Tara,E.,Nelson,D,C,C,W,L,W,2012
IN,U.S. Representative,2,Jackie,Swihart,Walorski,R,O,O,W,W,W,2012
KS,U.S. Representative,2,Lynn,,Jenkins,R,I,I,W,W,W,2012
KY,U.S. Representative,4,Alecia,,Webb-Edgington,R,O,.,L,,W,2012
MA,U.S. Representative,4,Elizabeth,,Childs,R,O,.,L,,W,2012
MA,U.S. Representative,4,Rachel,E.,Brown,D,O,.,L,,W,2012
MA,U.S. Representative,3,Niki,,Tsongas,D,I,I,W,W,W,2012
MA,U.S. Senator,,Elizabeth,,Warren,D,C,C,W,W,W,2012
MD,U.S. Representative,6,Kathy,,Afzali,R,CP,.,L,,W,2012
MD,U.S. Representative,5,Cathy,,Johnson Pendleton,D,CP,.,L,,B,2012
MD,U.S. Representative,4,Faith,M.,Loudon,R,C,C,W,L,W,2012
MD,U.S. Representative,4,Donna,,Edwards,D,I,I,W,W,B,2012
MD,U.S. Representative,2,Nancy,,Jacobs,R,C,C,W,L,W,2012
MD,U.S. Representative,1,Wendy,,Rosen,D,C,C,W,L,W,2012
MD,U.S. Representative,1,Kimberly,,Letke,D,C,.,L,,W,2012
MD,U.S. Senator,,Lih,,Young,D,CP,.,L,,AP,2012
ME,U.S. Representative,1,Chellie,,Pingree,D,I,I,W,W,W,2012
ME,U.S. Senator,,Cynthia,A.,Dill,D,O,O,W,L,W,2012
ME,U.S. Senator,,Debra,D.,Plowman,R,O,.,L,,W,2012
MI,U.S. Representative,14,Brenda,,Lawrence,D,C,.,L,,B,2012
MI,U.S. Representative,14,Mary,,Waters,D,C,.,L,,B,2012
MI,U.S. Representative,13,Shanelle,,Jackson,D,CP,.,L,,B,2012
MI,U.S. Representative,12,Karen,E.,Jacobsen,R,C,.,L,,W,2012
MI,U.S. Representative,12,Cynthia,J.,Kallgren,R,C,C,W,L,W,2012
MI,U.S. Representative,10,Candice,S.,Miller,R,I,I,W,W,W,2012
MI,U.S. Representative,4,Debra,Freidell,Wirth,D,C,C,W,L,W,2012
MI,U.S. Senator,,Debbie,,Stabenow,D,I,I,W,W,W,2012
MN,U.S. Representative,8,Tarryl,,Clark,DFL,C,.,L,,W,2012
MN,U.S. Representative,6,Michele,,Bachmann,R,I,I,W,W,W,2012
MN,U.S. Representative,4,Diana,,Longrie,DFL,CP,.,L,,W,2012
MN,U.S. Representative,4,Betty,,McCollum,D,I,I,W,W,W,2012
MN,U.S. Senator,,Amy,,Klobuchar,D,I,I,W,W,W,2012
MO,U.S. Representative,8,Jo Ann,,Emerson,R,I,I,W,W,W,2012
MO,U.S. Representative,4,Teresa,,Hensley,D,C,C,W,L,W,2012
MO,U.S. Representative,4,Vicky,,Hartzler,R,I,I,W,W,W,2012
MO,U.S. Representative,2,Ann,,Wagner,R,O,O,W,W,W,2012
MO,U.S. Representative,1,Robyn,,Hamlin,R,C,C,W,L,W,2012
MO,U.S. Representative,1,Candice,"""Britt""",Britton,D,CP,.,L,,W,2012
MO,U.S. Senator,,Sarah,,Steelman,R,C,.,L,,W,2012
MO,U.S. Senator,,Claire,C.,McCaskill,D,I,I,W,W,W,2012
MS,U.S. Representative,4,Cindy,,Burleson,R,CP,.,L,,W,2012
MS,U.S. Representative,3,Crystal,C.,Biggs,D,C,.,W,NA,W,2012
MS,U.S. Representative,2,Heather,,McTeer,D,CP,.,L,,B,2012
MT,U.S. Representative,AL,Diane,,Smith,D,O,.,L,,W,2012
MT,U.S. Representative,AL,Franke,,Wilmer,D,O,.,L,,W,2012
MT,U.S. Representative,AL,Kim,Janice,Gillan,D,O,O,W,L,W,2012
NC,U.S. Representative,11,Susan,,Harris,R,O,.,L,,W,2012
NC,U.S. Representative,10,Terry,Michelle,Bellamy,D,C,.,L,,B,2012
NC,U.S. Representative,10,Patsy,,Keever,D,C,C,W,L,W,2012
NC,U.S. Representative,9,Jennifer,,Roberts,D,O,O,W,L,W,2012
NC,U.S. Representative,5,Elisabeth,,Motsinger,D,C,C,W,L,W,2012
NC,U.S. Representative,5,Virginia,,Foxx,R,I,I,W,W,W,2012
NC,U.S. Representative,2,Sonya,,Holmes,R,CP,.,L,,W,2012
NC,U.S. Representative,2,Antoinette,"""Toni""",Morris,D,C,.,L,,B,2012
NC,U.S. Representative,2,Renee,,Ellmers,R,I,I,W,W,W,2012
ND,U.S. Representative,AL,Pam,,Gulleson,D,O,O,W,L,W,2012
ND,U.S. Senator,,Heidi,,Heitkamp,D,O,O,W,W,W,2012
NE,U.S. Representative,2,Gwen,,Howard,D,C,.,L,,W,2012
NE,U.S. Representative,1,Jessica,Lynn,Turek,R,CP,.,L,,W,2012
NE,U.S. Senator,,Sharyn,,Elander,R,O,.,L,,W,2012
NE,U.S. Senator,,Deb,,Fischer,R,O,O,W,W,W,2012
NH,U.S. Representative,2,Ann,McLane,Kuster,D,C,C,W,W,W,2012
NH,U.S. Representative,1,Carol,,Shea-Porter,D,C,C,W,W,W,2012
NJ,U.S. Representative,10,Cathy,,Wright,D,O,.,L,,B,2012
NJ,U.S. Representative,10,Nia,H.,Gill,D,O,.,L,,B,2012
NJ,U.S. Representative,8,Maria,Pineiro,Karczewski,R,C,C,W,L,H,2012
NJ,U.S. Representative,6,Anna,C.,Little,R,C,C,W,L,W,2012
NJ,U.S. Representative,5,Bonnie,,Somer,R,CP,.,L,,W,2012
NJ,U.S. Representative,5,Diane,,Sare,D,C,.,L,,W,2012
NJ,U.S. Representative,3,Shelley,,Adler,D,C,C,W,L,W,2012
NJ,U.S. Representative,2,Cassandra,,Shober,D,C,C,W,L,W,2012
NJ,U.S. Representative,2,Viola,,Hughes,D,C,.,L,,B,2012
NM,U.S. Representative,2,Evelyn,Madrid,Erhard,D,C,C,W,L,H,2012
NM,U.S. Representative,1,Michelle,,Lujan Grisham,D,O,O,W,W,H,2012
NM,U.S. Representative,1,Janice,E.,Arnold-Jones,R,O,O,W,L,W,2012
NM,U.S. Senator,,Heather,A.,Wilson,R,O,O,W,L,W,2012
NV,U.S. Representative,4,Diane,,Anderson,R,O,.,L,,W,2012
NV,U.S. Representative,4,Barbara,K.,Cegavske,R,O,.,L,,W,2012
NV,U.S. Representative,2,Xiomara,,Rodriguez,D,C,.,L,,H,2012
NV,U.S. Representative,1,Charmaine,,Guss,R,O,.,L,,W,2012
NV,U.S. Representative,1,Dina,,Titus,D,O,O,W,W,W,2012
NV,U.S. Senator,,Sherry,,Brooks,R,CP,.,L,,W,2012
NV,U.S. Senator,,Nancy,,Price,D,C,.,L,,W,2012
NV,U.S. Senator,,Shelley,,Berkley,D,C,C,W,L,W,2012
NY,U.S. Representative,27,Kathy,,Hochul,D,I,I,W,L,W,2012
NY,U.S. Representative,25,Maggie,,Brooks,R,C,C,W,L,W,2012
NY,U.S. Representative,25,Louise,,Slaughter,D,I,I,W,W,W,2012
NY,U.S. Representative,24,Ann,Marie,Buerkle,R,I,I,W,L,W,2012
NY,U.S. Representative,23,Leslie,Danks,Burke,D,C,.,L,,W,2012
NY,U.S. Representative,23,Melissa,K.,Dobson,D,C,.,L,,W,2012
NY,U.S. Representative,21,Kellie,A.,Greene,R,C,.,L,,W,2012
NY,U.S. Representative,18,Nan,,Hayworth,R,I,I,W,L,W,2012
NY,U.S. Representative,17,Nita,,Lowey,D,I,I,W,W,W,2012
NY,U.S. Representative,13,Joyce,S.,Johnson,D,CP,.,L,,B,2012
NY,U.S. Representative,12,Carolyn,,Maloney,D,I,I,W,W,W,2012
NY,U.S. Representative,9,Sylvia,G.,Kinard,D,CP,.,L,,,2012
NY,U.S. Representative,9,Yvette,D.,Clarke,D,I,I,W,W,B,2012
NY,U.S. Representative,7,Nydia,,Velazquez,D,I,I,W,W,H,2012
NY,U.S. Representative,6,Elizabeth,S.,Crowley,D,O,.,L,,W,2012
NY,U.S. Representative,6,Grace,,Meng,D,O,O,W,W,AP,2012
NY,U.S. Representative,4,Carolyn,,McCarthy,D,I,I,W,W,W,2012
NY,U.S. Representative,2,Vivianne,C.,Falcone,D,C,C,W,L,W,2012
NY,U.S. Senator,,Wendy,,Long,R,C,C,W,L,W,2012
NY,U.S. Senator,,Kirsten,Rutnik,Gillibrand,D,I,I,W,W,W,2012
OH,U.S. Representative,16,Betty,,Sutton,D,I,I,W,L,W,2012
OH,U.S. Representative,13,Marisha,G.,Agana,R,C,C,W,L,AP,2012
OH,U.S. Representative,11,Marcia,,Fudge,D,I,I,W,W,B,2012
OH,U.S. Representative,10,Olivia,,Freeman,D,O,.,L,,B,2012
OH,U.S. Representative,10,Sharen,Swartz,Neuhardt,D,O,O,W,L,W,2012
OH,U.S. Representative,9,Marcy,,Kaptur,D,I,I,W,W,W,2012
OH,U.S. Representative,7,Joyce,R.,Healy-Abrams,D,C,C,W,L,W,2012
OH,U.S. Representative,5,Angela,,Zimmann,D,C,C,W,L,W,2012
OH,U.S. Representative,3,Priscilla,R.,Tyson,D,O,.,L,,B,2012
OH,U.S. Representative,3,Joyce,,Beatty,D,O,O,W,W,B,2012
OH,U.S. Representative,3,Mary,Jo,Kilroy,D,O,.,L,,W,2012
OH,U.S. Representative,2,Jean,,Schmidt,R,I,.,L,,W,2012
OH,U.S. Senator,,Donna,K.,Glisman,R,C,.,L,,W,2012
OK,U.S. Representative,4,Donna,Marie,Bebo,D,C,C,W,L,W,2012
OR,U.S. Representative,8,Karen,,Bowerman,R,C,.,L,,W,2012
OR,U.S. Representative,3,Delia,,Lopez,R,C,.,L,,W,2012
OR,U.S. Representative,2,Joyce,B.,Segers,D,C,C,W,L,W,2012
OR,U.S. Representative,1,Delinda,Delgado,Morgan,R,C,C,W,L,H,2012
OR,U.S. Representative,1,Suzanne,,Bonamici,D,I,I,W,W,W,2012
OR,U.S. Representative,1,Lisa,,Michaels,R,C,.,L,,W,2012
PA,U.S. Representative,17,Laureen,,Cummings,R,C,O,W,L,W,2012
PA,U.S. Representative,16,Aryanna,,Strader,D,C,C,W,L,W,2012
PA,U.S. Representative,14,Janis,,Brooks,D,CP,.,L,,B,2012
PA,U.S. Representative,13,Allyson,,Schwartz,D,I,I,W,W,W,2012
PA,U.S. Representative,9,Karen,,Ramsburg,D,C,C,W,L,W,2012
PA,U.S. Representative,8,Kathy,,Boockvar,D,C,C,W,L,W,2012
PA,U.S. Representative,3,Missa,,Eaton,D,C,C,W,L,W,2012
RI,U.S. Representative,2,Kara,D.,Russo,R,C,.,L,,W,2012
SC,U.S. Representative,7,Renee,,Culler,R,O,.,L,,W,2012
SC,U.S. Representative,7,Gloria,,Bromell-Tinubu,D,O,O,W,L,B,2012
SC,U.S. Representative,7,Katherine,,Jenerette,R,O,.,L,,W,2012
SC,U.S. Representative,5,Joyce,,Knott,D,C,C,W,L,W,2012
SC,U.S. Representative,4,Deb,,Morrow,D,C,C,W,L,W,2012
SC,U.S. Representative,1,Bobbi,,Rose,D,C,C,W,L,W,2012
SD,U.S. Representative,AL,Kristi,L.,Noem,R,I,I,W,W,W,2012
TN,U.S. Representative,9,Tomeka,,Hart,D,CP,.,L,,B,2012
TN,U.S. Representative,9,Charlotte,,Bergmann,R,C,.,L,,B,2012
TN,U.S. Representative,8,Christa,,Stoscheck,D,C,.,L,,W,2012
TN,U.S. Representative,8,Annette,,Justice,R,CP,.,L,,W,2012
TN,U.S. Representative,7,Marsha,,Blackburn,R,I,I,W,W,W,2012
TN,U.S. Representative,6,Lou Ann,,Zelenik,R,CP,.,L,,W,2012
TN,U.S. Representative,6,Diane,L.,Black,R,I,I,W,W,W,2012
TN,U.S. Representative,3,Mary,,Headrick,D,C,C,W,L,W,2012
TN,U.S. Senator,,Park,,Overall,D,C,.,L,,W,2012
TN,U.S. Senator,,Brenda,S.,Lenard,R,CP,.,L,,B,2012
TX,U.S. Representative,36,Lois,Dickson,Myers,R,O,.,L,,W,2012
TX,U.S. Representative,35,Susan,,Narvaiz,R,C,C,W,L,W,2012
TX,U.S. Representative,35,Maria,Luisa,Alvarado,D,CP,.,L,,H,2012
TX,U.S. Representative,35,Sylvia,,Romo,D,CP,.,L,,H,2012
TX,U.S. Representative,34,Denise,Saenz,Blanchard,D,O,.,L,,H,2012
TX,U.S. Representative,34,Adela,,Garza,R,O,.,L,,H,2012
TX,U.S. Representative,34,Jessica,Puente,Bradshaw,R,O,O,W,L,H,2012
TX,U.S. Representative,33,Kathleen,,Hicks,D,O,.,L,,B,2012
TX,U.S. Representative,33,Chrysta,,Castaneda,D,O,.,L,,W,2012
TX,U.S. Representative,32,Katherine,Savers,McGovern,D,C,C,W,L,W,2012
TX,U.S. Representative,30,Barbara,Mallory,Caraway,D,CP,.,L,,B,2012
TX,U.S. Representative,30,Eddie,Bernice,Johnson,D,I,I,W,W,B,2012
TX,U.S. Representative,27,Rose,Meza,Harrison,D,C,C,W,L,H,2012
TX,U.S. Representative,25,Elaine,M.,Henderson,D,O,O,W,L,W,2012
TX,U.S. Representative,25,Dianne,,Costa,R,O,.,L,,H,2012
TX,U.S. Representative,22,Barbara,J.,Carlson,R,CP,.,L,,W,2012
TX,U.S. Representative,22,Kesha,,Rogers,D,C,C,W,L,B,2012
TX,U.S. Representative,21,Candace,,Duval,D,C,C,W,L,H,2012
TX,U.S. Representative,18,Sheila,,Jackson Lee,D,I,I,W,W,B,2012
TX,U.S. Representative,16,Barbara,,Carrasco,R,C,C,W,L,H,2012
TX,U.S. Representative,15,Jane,"""Juanita Cruz""",Cross,D,CP,.,L,,H,2012
TX,U.S. Representative,15,Rebecca,,Cervera,R,C,.,L,,H,2012
TX,U.S. Representative,14,Linda,,Dailey,D,O,.,L,,B,2012
TX,U.S. Representative,14,Felicia,,Harris,R,O,.,L,,W,2012
TX,U.S. Representative,13,Pamela,"""Pam""",Barlow,R,CP,.,L,,W,2012
TX,U.S. Representative,12,Kay,,Granger,R,I,I,W,W,W,2012
TX,U.S. Representative,10,Tawana,,Walter-Cadien,D,C,C,W,L,B,2012
TX,U.S. Representative,7,Lissa,,Squiers,D,C,.,L,,W,2012
TX,U.S. Representative,6,Brianna,,Hinojosa-Flores,D,C,.,L,,H,2012
TX,U.S. Representative,5,Pat,,Wallace,D,C,.,L,,W,2012
TX,U.S. Representative,5,Linda,S.,Mrosko,D,C,C,W,L,W,2012
TX,U.S. Representative,4,VaLinda,,Hathcox,D,C,C,W,L,W,2012
TX,U.S. Representative,1,Shirley,J.,McKellar,D,C,C,W,L,B,2012
TX,U.S. Senator,,Addie,Dainell,Allen,D,O,.,L,,B,2012
TX,U.S. Senator,,Lela,,Pittenger,R,O,.,L,,W,2012
UT,U.S. Representative,4,Mia,,Love,R,C,C,W,L,B,2012
UT,U.S. Representative,2,Cherilyn,,Eagar,R,O,.,L,,W,2012
UT,U.S. Representative,1,Jacqueline,,Smith,R,CP,.,L,,W,2012
UT,U.S. Representative,1,Donna,,McAleer,D,C,C,W,L,W,2012
VA,U.S. Representative,10,Kristin,A.,Cabral,D,C,C,W,L,H,2012
VA,U.S. Representative,6,Karen,,Kwiatkowski,R,CP,.,L,,W,2012
VA,U.S. Representative,4,Ella,P.,Ward,D,C,C,W,L,B,2012
VA,U.S. Representative,4,R. M.,"""Bonnie""",Girard,R,CP,.,L,,W,2012
VA,U.S. Senator,,Jamie,,Radtke,R,O,.,L,,W,2012
WA,U.S. Representative,10,Jennifer,,Ferguson,D,CP,.,L,,,2012
WA,U.S. Representative,8,Karen,,Porterfield,D,C,C,W,L,W,2012
WA,U.S. Representative,5,Cathy,,McMorris Rodgers,R,I,I,W,W,W,2012
WA,U.S. Representative,4,Jamie,,Wheeler,R,CP,.,L,,W,2012
WA,U.S. Representative,4,Mary,,Baechler,D,C,C,W,L,W,2012
WA,U.S. Representative,3,Jaime,,Herrera Beutler,R,I,I,W,W,H,2012
WA,U.S. Representative,1,Suzan,,DelBene,D,O,O,W,W,W,2012
WA,U.S. Representative,1,Darcy,,Burner,D,O,.,L,,W,2012
WA,U.S. Representative,1,Laura,,Ruderman,D,O,.,L,,W,2012
WA,U.S. Senator,,Maria,,Cantwell,D,I,I,W,W,W,2012
WI,U.S. Representative,6,Lauren,,Stephens,R,CP,.,L,,W,2012
WI,U.S. Representative,4,Gwendolynne,S.,Moore,D,I,I,W,W,B,2012
WI,U.S. Representative,2,Kelda,Helen,Roys,D,O,.,L,,W,2012
WI,U.S. Senator,,Tammy,,Baldwin,D,O,O,W,W,W,2012
WV,U.S. Representative,2,Shelley,Moore,Capito,R,I,I,W,W,W,2012
WV,U.S. Representative,1,Sue,,Thorn,D,C,C,W,L,W,2012
WV,U.S. Senator,,Sheirl,Lee,Fletcher,D,CP,.,L,,W,2012
WY,U.S. Representative,AL,Cynthia,M.,Lummis,R,I,I,W,W,W,2012
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
