,,"Use of this data for non-commercial purposes is encouraged, provided that clear and visible credit is given to Center for American Women and Politics, Eagleton Institute of Politics, Rutgers University-New Brunswick. Any use of this data for publication or public presentation must credit CAWP. Commercial reproduction requires prior permission in writing from the Center for American Women and Politics.

Suggested In-Text Attribution: Center for American Women and Politics (CAWP) at the Eagleton Institute of Politics at Rutgers University-New Brunswick
Suggested Citation: Center for American Women and Politics (CAWP). Women Statewide and Congressional Candidates Database. New Brunswick, NJ: Eagleton Institute of Politics, Rutgers University-New Brunswick.
",,,,,,,,,,
State,Office,District,First Name,Middle Name,Last Name,Party,Primary Seat Status,General Seat Status,Primary Results,General Result,Race,Year
CA,U.S. Senator,,Carly,,Fiorina,R,C,C,W,L,W,2010
CA,U.S. Senator,,Barbara,,Boxer,D,I,I,W,W,W,2010
CO,U.S. Representative,4,Betsy,,Markey,D,I,I,W,L,W,2010
CO,U.S. Representative,2,Diana,,DeGette,D,I,I,W,W,W,2010
CO,U.S. Senator,,Jane,,Norton,R,C,.,L,,W,2010
CT,U.S. Representative,3,Rosa,L.,DeLauro,D,I,I,W,W,W,2010
CT,U.S. Representative,2,Daria,,Novak,R,C,.,L,,W,2010
CT,U.S. Representative,2,Janet,,Peckinpaugh,R,C,C,W,L,W,2010
CT,U.S. Representative,1,Ann,,Brickley,R,C,C,W,L,W,2010
CT,U.S. Senator,,Linda,E.,McMahon,R,O,O,W,L,W,2010
DE,U.S. Representative,AL,Michele,,Rollins,R,O,.,L,,W,2010
DE,U.S. Representative,AL,Rose,,Izzo,R,O,.,L,,W,2010
DE,U.S. Senator,,Christine,,O'Donnell,R,O,O,W,L,W,2010
FL,U.S. Representative,25,Mariana,"""Marili""",Cancio,R,O,.,L,,H,2010
FL,U.S. Representative,24,Karen,,Diebel,R,C,.,L,,W,2010
FL,U.S. Representative,24,Sandra,"""Sandy""",Adams,R,C,C,W,W,W,2010
FL,U.S. Representative,24,Suzanne,M.,Kosmas,D,I,I,W,L,W,2010
FL,U.S. Representative,20,Donna,,Milo,R,C,.,L,,H,2010
FL,U.S. Representative,20,Karen,,Harrington,R,C,C,W,L,W,2010
FL,U.S. Representative,20,Debbie,,Wasserman Schultz,D,I,I,W,W,W,2010
FL,U.S. Representative,18,Ileana,,Ros-Lehtinen,R,I,I,W,W,H,2010
FL,U.S. Representative,17,Shirley,,Gibson,D,O,.,L,,B,2010
FL,U.S. Representative,17,Marleine,,Bastien,D,O,.,L,,B,2010
FL,U.S. Representative,17,Yolly,,Roberson,D,O,.,L,,B,2010
FL,U.S. Representative,17,Frederica,S.,Wilson,D,O,O,W,W,B,2010
FL,U.S. Representative,15,Shannon,,Roberts,D,C,C,W,L,W,2010
FL,U.S. Representative,12,Lori,,Edwards,D,O,O,W,L,W,2010
FL,U.S. Representative,11,Kathy,Anne,Castor,D,I,I,W,W,W,2010
FL,U.S. Representative,9,Anita,,de Palma,D,C,C,W,L,H,2010
FL,U.S. Representative,8,Patricia,,Sullivan,R,C,.,L,,W,2010
FL,U.S. Representative,7,Heather,,Beaven,D,C,C,W,L,W,2010
FL,U.S. Representative,3,Corrine,,Brown,D,I,I,W,W,B,2010
FL,U.S. Representative,2,Barbara,F.,Olschner,R,C,.,L,,W,2010
GA,U.S. Representative,13,Deborah,Travis,Honeycutt,R,C,.,L,,B,2010
GA,U.S. Representative,5,Kelly,,Nguyen,R,C,.,L,,AP,2010
GA,U.S. Representative,12,Jeanne,,Seaver,R,C,.,L,,W,2010
GA,U.S. Representative,12,Regina,D.,Thomas,D,CP,.,L,,B,2010
GA,U.S. Representative,8,Diane,,Vann,R,C,.,L,,W,2010
GA,U.S. Representative,4,Lisbeth,"""Liz""",Carter,R,O,O,W,L,W,2010
GA,U.S. Representative,4,Connie,J.,Stokes,D,O,.,L,,B,2010
HI,U.S. Representative,2,Mazie,,Hirono,D,I,I,W,W,AP,2010
HI,U.S. Representative,1,Colleen,,Hanabusa,D,C,C,W,W,AP,2010
IA,U.S. Representative,2,Mariannette,,Miller-Meeks,R,C,C,W,L,W,2010
IA,U.S. Senator,,Roxanne,,Conlin,D,C,C,W,L,W,2010
ID,U.S. Representative,2,Katherine,,Burton,R,C,.,L,,W,2010
IL,U.S. Representative,18,Deidre,DK,Hirner,D,C,C,W,L,W,2010
IL,U.S. Representative,13,Judy,,Biggert,R,I,I,W,W,W,2010
IL,U.S. Representative,12,Teri,,Newman,R,C,C,W,L,W,2010
IL,U.S. Representative,12,Theresa,,Kormos,R,C,.,L,,W,2010
IL,U.S. Representative,11,Deborah,"""Debbie""",Halvorson,D,I,I,W,L,W,2010
IL,U.S. Representative,10,Julie,,Hamos,D,O,.,L,,W,2010
IL,U.S. Representative,10,Elizabeth,,Coulson,R,O,.,L,,W,2010
IL,U.S. Representative,9,Janice,D.,Schakowsky,D,I,I,W,W,W,2010
IL,U.S. Representative,8,Maria,,Rodriguez,R,C,.,L,,W,2010
IL,U.S. Representative,8,Melissa,,Bean,D,I,I,W,L,W,2010
IL,U.S. Representative,7,Sharon,Denise,Dixon,D,CP,.,L,,B,2010
IL,U.S. Representative,7,Darlena,,Williams-Burnett,D,CP,.,L,,B,2010
IL,U.S. Representative,5,Rosanna,,Pulido,R,C,.,L,,H,2010
IL,U.S. Representative,1,JoAnne,,Guillemette,D,CP,.,L,,B,2010
