"","FEC_ID","Year","X.x","C10","M01","M10","M20","M30","M40","M50","S10","S20","S50","R10","X_first_score","X_second_score","total_spent","STATE.ABBREVIATION","DISTRICT","X.1","candidate.last","X.y","X1","STATE","incumbent","candidate.first","candidate.name","TOTAL.VOTES","PARTY","PRIMARY","primary.perc","RUNOFF","runoff.perc","GENERAL","GE.perc","woman","Total population","18 years and over","Under 20","20 to 44 years","45 to 64 years","Over 65","Median age (years)","White","Black or African American","American Indian and Alaska Native","Asian","Native Hawaiian and Other Pacific Islander","Some other race","Two or more races","Hispanic or Latino (of any race)","Born in United States","Foreign born","Percent Over 16 In labor force","Unemployment Rate","Median (dollars)","Median household income (dollars)","Mean household income (dollars)","All people","Percent high school graduate or higher","Percent bachelor's degree or higher"
"11","H0AZ01259",2010,423,0.940522214952715,0,0,0,0.0594777850472848,0,0,0,0,0,0,-0.604531955657948,-0.106201263208159,33626,"AZ","01",370,"Gosar",131,132,"Arizona","","Paul","Gosar, Paul",NA,"R","21,941","30.73%","","","112,816","49.72%",0,0.468583811,0.45088075,0.601021083,0.34448703,0.385181145,0.39073653,0.377289377,0.597620064,0.03366115,1.000001837,0.020447478,0.013791956,0.122542768,0.121853903,0.249981248,0.894535822,0.096748631,0.336542542,0.55952381,0.079917487,0.211775445,0.1494431,0.469255663,0.780612245,0.241987179
"12","H0AZ03305",2010,424,0.999903428295509,0,0,0,0,0,0,0,9.65717044905843e-05,0,0,-0.678252351570276,-0.0669603074232357,93195,"AZ","03",394,"Hulburd",168,169,"Arizona","","Jon","Hulburd, Jon",NA,"D","27,388","100.00%","","","85,610","41.14%",0,0.504623871,0.23267181,0.825747752,0.516637058,0.246540561,0.127337276,0.124542125,0.726001828,0.057193554,0.200216478,0.022488215,0.008317294,0.277991454,0.165865056,0.726422753,0.640416142,0.354101523,0.627384615,0.654761905,0.064945435,0.198809946,0.111780513,0.433656958,0.517857143,0.104166667
"13","H0AZ08015",2010,425,0.134789402914562,0,0,0,0.0707926009376022,0,0.526946978231639,0,0.241668786568303,0.025802231347894,0,0.164498170103119,0.0509882760033549,27517,"AZ","08",404,"Kelly",230,231,"Arizona","","Jesse","Kelly, Jesse",NA,"R","43,097","48.31%","","","134,124","47.30%",0,0.499087089,0.509516104,0.47826194,0.281968367,0.525883253,0.478901132,0.52014652,0.830168637,0.067646422,0.056371212,0.059792107,0.006598081,0.090593559,0.116181198,0.234037529,0.815863927,0.171625725,0.493579956,0.273809524,0.13068938,0.359813716,0.240212893,0.181229773,0.880102041,0.342948718
"14","H0AZ08056",2010,813,0,0,0,0,0.408997955010225,0.591002044989775,0,0,0,0,0,0.38653700534173,-0.228311780548525,29340,"AZ","08",448,"Paton",2318,232,"Arizona","","Jonathan","Paton, Jonathan",NA,"R","37,066","41.55%","","","","",0,0.499087089,0.509516104,0.47826194,0.281968367,0.525883253,0.478901132,0.52014652,0.830168637,0.067646422,0.056371212,0.059792107,0.006598081,0.090593559,0.116181198,0.234037529,0.815863927,0.171625725,0.493579956,0.273809524,0.13068938,0.359813716,0.240212893,0.181229773,0.880102041,0.342948718
"15","H0CA01148",2010,426,0.13209219858156,0,0.583333333333333,0.284574468085106,0,0,0,0,0,0,0,0.173542988041449,0.14399653791386,2256,"CA","01",866,"Hanks",337,338,"California","","Loren","Hanks, Loren",NA,"R","28,115","60.46%","","","72,803","31.03%",0,0.33849074,0.573903697,0.443803784,0.350710762,0.515016022,0.443055696,0.454212454,0.854587996,0.014759715,0.070022185,0.046621905,0.021576172,0.08914959,0.193146365,0.162061321,0.896055489,0.094694618,0.409689822,0.404761905,0.150718659,0.25670673,0.215377293,0.336569579,0.846938776,0.251602564
"16","H0CA02138",2012,1358,0,0,0,0,0,0,0,0,1,0,0,0.293462401114089,0.154005492578857,2000,"CA","01",1211,"Reed",240,241,"California","","Jim","Reed, Jim",NA,"D","43,409","24.75%","","","125,386","42.62%",0,0.33849074,0.573903697,0.443803784,0.350710762,0.515016022,0.443055696,0.454212454,0.854587996,0.014759715,0.070022185,0.046621905,0.021576172,0.08914959,0.193146365,0.162061321,0.896055489,0.094694618,0.409689822,0.404761905,0.150718659,0.25670673,0.215377293,0.336569579,0.846938776,0.251602564
"17","H0CA03078",2012,933,1,0,0,0,0,0,0,0,0,0,0,-0.678346200783401,-0.066981648528123,2000,"CA","07",578,"Bera",28411,285,"California","","Ami ","Bera, Ami ",NA,"D","49,433","41.00%","","","141,241","51.68%",0,0.421464624,0.480373425,0.504418942,0.427873211,0.693443747,0.256253247,0.380952381,0.550429221,0.100165426,0.026005057,0.313384078,0.083868313,0.145512309,0.284982285,0.186460874,0.639679155,0.350318709,0.667022278,0.380952381,0.223649188,0.394923678,0.316501541,0.213592233,0.859693878,0.378205128
"18","H0CA03078",2014,1897,0,0,0,0,0,0,0,0,0,0,1,0.327608910583265,0.207281368431262,1250,"CA","07",579,"Bera",19810,199,"California","(I)","Ami","Bera, Ami",NA,"D","51,878","46.72%","","","92,521","50.40%",0,0.421464624,0.480373425,0.504418942,0.427873211,0.693443747,0.256253247,0.380952381,0.550429221,0.100165426,0.026005057,0.313384078,0.083868313,0.145512309,0.284982285,0.186460874,0.639679155,0.350318709,0.667022278,0.380952381,0.223649188,0.394923678,0.316501541,0.213592233,0.859693878,0.378205128
"19","H0CA08069",2014,1463,1,0,0,0,0,0,0,0,0,0,0,-0.678346200783401,-0.066981648528123,990,"CA","12",735,"Dennis",22912,230,"California","","John","Dennis, John",NA,"R","12,922","11.92%","","","32,197","16.75%",0,0.4643872,0.918101139,0.04185884,0.899760954,0.429342494,0.245341278,0.340659341,0.3818728,0.07838548,0.01774537,0.58621016,0.032271532,0.215617998,0.214666406,0.16090116,0.429415195,0.554269427,0.936951231,0.19047619,0.758850146,0.8133357,0.747232911,0.194174757,0.808673469,0.814102564
"20","H0CA10123",2010,427,1,0,0,0,0,0,0,0,0,0,0,-0.678346200783401,-0.066981648528123,189,"CA","11",872,"Harmer",446,447,"California","","David","Harmer, David",NA,"R","24,626","36.44%","","","112,703","46.86%",0,0.437843268,0.483871627,0.500344297,0.408729922,0.684683837,0.280589009,0.406593407,0.470677701,0.102187424,0.02394127,0.260064804,0.013784842,0.467832879,0.236683496,0.318390033,0.513236051,0.478276762,0.683258005,0.238095238,0.432259782,0.612936761,0.591062899,0.16828479,0.772959184,0.556089744
"21","H0CA11337",2014,1464,1,0,0,0,0,0,0,0,0,0,0,-0.678346200783401,-0.066981648528123,623,"CA","09",536,"Amador",21113,212,"California","","Antonio C. ""Tony""","Amador, Antonio C. ""Tony""",NA,"R","20,424","26.34%","","","57,729","47.63%",0,0.473900012,0.265823552,0.745684177,0.427219833,0.423804477,0.19598601,0.256410256,0.45811525,0.134649909,0.028945815,0.2861986,0.057362175,0.244376473,0.429921336,0.424304518,0.622392022,0.371840436,0.57302576,0.452380952,0.215797179,0.348023057,0.292855775,0.32038835,0.612244898,0.198717949
"22","H0CA18050",2010,429,1,0,0,0,0,0,0,0,0,0,0,-0.678346200783401,-0.066981648528123,389,"CA","18",585,"Berryhill",517,518,"California","","Michael Clare, Sr.","Berryhill, Michael Clare, Sr.",NA,"R","23,978","100.00%","","","51,716","41.52%",0,0.416159545,0.444319663,0.535877351,0.408762089,0.67748838,0.258492019,0.402930403,0.577254503,0.026899102,0.008866956,0.434850504,0.012028064,0.139071161,0.184356622,0.168452437,0.458261767,0.53631143,0.709223451,0.047619048,1,1,1,0.035598706,0.969387755,0.892628205
"23","H0CA19173",2012,934,1,0,0,0,0,0,0,0,0,0,0,-0.678346200783401,-0.066981648528123,52121,"CA","10",731,"Denham",31010,311,"California","(I)","Jeff","Denham, Jeff",NA,"R","45,779","49.24%","","","110,265","52.71%",0,0.436647679,0.267100064,0.744518903,0.475264727,0.417001356,0.154511716,0.223443223,0.753736007,0.044490748,0.030732159,0.124960928,0.052975754,0.15786296,0.186508304,0.500299599,0.660639047,0.337597248,0.592829782,0.523809524,0.190577589,0.326132157,0.233996738,0.268608414,0.62244898,0.126602564
"24","H0CA19173",2014,1465,1,0,0,0,0,0,0,0,0,0,0,-0.678346200783401,-0.066981648528123,30829,"CA","10",732,"Denham",21510,216,"California","(I)","Jeff","Denham, Jeff",NA,"R","44,237","58.94%","","","70,582","56.15%",0,0.436647679,0.267100064,0.744518903,0.475264727,0.417001356,0.154511716,0.223443223,0.753736007,0.044490748,0.030732159,0.124960928,0.052975754,0.15786296,0.186508304,0.500299599,0.660639047,0.337597248,0.592829782,0.523809524,0.190577589,0.326132157,0.233996738,0.268608414,0.62244898,0.126602564
"25","H0CA23159",2010,430,0.0161697523443135,0,0.161577302236114,0.00326100024044241,0.117801755229623,0,0,0,0,0,0.701190189949507,0.338284498555625,0.0925806775914476,66544,"CA","23",857,"Hager",55910,560,"California","","John V.","Hager, John V.",NA,"IND","","","","","5,625","2.91%",0,0.393454474,0.273075001,0.726119507,0.474950437,0.360572952,0.190468402,0.234432234,0.696911199,0.092907696,0.043294873,0.082020806,0.008674178,0.280815929,0.173520206,0.450190025,0.756317285,0.234908919,0.522877885,0.702380952,0.118911365,0.274599794,0.219178957,0.391585761,0.706632653,0.192307692
"26","H0CA24124",2010,431,0.63618802318094,0,0,0,0,0,0,0,0,0.0418544752092724,0.321957501609788,-0.308758297316221,0.0497216002705453,3106,"CA","24",1147,"Panec",567,568,"California","","Marie T.","Panec, Marie T.",NA,"D","12,526","29.93%","","","","",1,0.385828654,0.584827827,0.52773432,0.49043589,0.340297206,0.323509469,0.285714286,0.798388971,0.022006608,0.049683879,0.082831316,0.006946301,0.220648066,0.111203583,0.408251942,0.689157529,0.305819934,0.612650146,0.238095238,0.358863455,0.382431496,0.343925754,0.275080906,0.711734694,0.41025641
"27","H0CA26087",2012,935,0.758267259717656,0,0,0,0,0,0,0,0,0,0.241732740282344,-0.435173915111706,-0.000683297880427949,5171,"CA","32",1094,"Miller",4501,451,"California","","David L.","Miller, David L.",NA,"R","21,843","41.80%","","","65,208","34.30%",0,0.317769049,0.541959389,0.473582992,0.501354672,0.599759263,0.246787109,0.373626374,0.424344531,0.030291736,0.035971072,0.339712597,0.031956352,0.615942257,0.167323985,0.680303681,0.386699497,0.622236632,0.660368241,0.357142857,0.312816077,0.338717312,0.230671008,0.262135922,0.525510204,0.195512821
"28","H0CA27085",2010,432,1,0,0,0,0,0,0,0,0,0,0,-0.678346200783401,-0.066981648528123,2500,"CA","29",1273,"Schiff",6051,606,"California","(I)","Adam B.","Schiff, Adam B.",NA,"D","31,832","100.00%","","","104,374","64.78%",0,0.349156507,0.45248775,0.561533077,0.644891786,0.463344184,0.105411374,0.234432234,0.523128211,0.051773845,0.023054912,0.125567838,0.003813621,0.74643346,0.106031243,0.748680814,0.273271028,0.7333295,0.769434293,0.321428571,0.319004525,0.252793414,0.187442322,0.401294498,0.357142857,0.195512821
"29","H0CA27085",2012,1336,0,0,0,0,0,1,0,0,0,0,0,0.264629948477297,0.116372821247358,2000,"CA","28",1274,"Schiff",41810,419,"California","(I)","Adam","Schiff, Adam",NA,"D","42,797","59.00%","","","188,703","76.49%",0,0.304002165,0.8236856,0.136570846,0.716445596,0.618636582,0.274357927,0.413919414,0.634678373,0.032346353,0.021972303,0.264981041,0.021426906,0.264259285,0.166023778,0.260096671,0.327226071,0.672849964,0.809640541,0.392857143,0.530542986,0.366566932,0.349340948,0.294498382,0.816326531,0.608974359
"30","H0CA39080",2010,433,0.406020220588235,0,0,0,0,0,0,0,0,0,0.593979779411765,-0.0808292056356911,0.0959250377862174,4352,"CA","39",541,"Andre",6971,698,"California","","Larry S.","Andre, Larry S.",NA,"R","17,062","100.00%","","","42,037","32.60%",0,0.348261206,0.543121838,0.44977965,0.409005647,0.77505835,0.279446601,0.432234432,0.444730425,0.017413437,0.01093423,0.584803015,0.013540328,0.261411998,0.125432398,0.361632502,0.425817868,0.577057513,0.725186011,0.297619048,0.399055097,0.552512805,0.414462572,0.126213592,0.831632653,0.528846154
"31","H0CA48024",2012,936,1,0,0,0,0,0,0,0,0,0,0,-0.678346200783401,-0.066981648528123,75,"CA","49",918,"Issa",54811,549,"California","(I)","Darrell","Issa, Darrell",NA,"R","71,329","61.09%","","","159,725","58.16%",0,0.374564166,0.463288625,0.514279391,0.433748318,0.623422432,0.272029282,0.377289377,0.802946104,0.026062325,0.03759533,0.116022105,0.03349922,0.084476835,0.206200533,0.304064827,0.69326997,0.289028894,0.76088745,0.345238095,0.440910301,0.582991024,0.546586338,0.080906149,0.834183673,0.594551282
"32","H0CA49055",2010,434,1,0,0,0,0,0,0,0,0,0,0,-0.678346200783401,-0.066981648528123,146,"CA","53",716,"Davis",8121,813,"California","(I)","Susan A.","Davis, Susan A.",NA,"D","42,976","100.00%","","","104,800","62.26%",1,0.469531014,0.606691111,0.397214584,0.755463722,0.318685598,0.175502207,0.26007326,0.578591262,0.112982286,0.026090828,0.265815641,0.026855247,0.196911179,0.220692905,0.371720594,0.581540307,0.389213813,0.819693466,0.452380952,0.331581049,0.431242287,0.336217954,0.207119741,0.854591837,0.487179487
"33","H0CA49055",2012,937,1,0,0,0,0,0,0,0,0,0,0,-0.678346200783401,-0.066981648528123,2106,"CA","53",719,"Davis",582,583,"California","(I)","Susan A.","Davis, Susan A.",NA,"D","70,462","57.81%","","","164,825","61.43%",1,0.469531014,0.606691111,0.397214584,0.755463722,0.318685598,0.175502207,0.26007326,0.578591262,0.112982286,0.026090828,0.265815641,0.026855247,0.196911179,0.220692905,0.371720594,0.581540307,0.389213813,0.819693466,0.452380952,0.331581049,0.431242287,0.336217954,0.207119741,0.854591837,0.487179487
"34","H0CA49055",2014,1466,1,0,0,0,0,0,0,0,0,0,0,-0.678346200783401,-0.066981648528123,18,"CA","53",723,"Davis",44511,446,"California","(I)","Susan A.","Davis, Susan A.",NA,"D","50,041","56.26%","","","87,104","58.84%",1,0.469531014,0.606691111,0.397214584,0.755463722,0.318685598,0.175502207,0.26007326,0.578591262,0.112982286,0.026090828,0.265815641,0.026855247,0.196911179,0.220692905,0.371720594,0.581540307,0.389213813,0.819693466,0.452380952,0.331581049,0.431242287,0.336217954,0.207119741,0.854591837,0.487179487
