"","FEC_ID","Year","X.x","C10","M01","M10","M20","M30","M40","M50","S10","S20","S50","R10","X_first_score","X_second_score","total_spent","STATE.ABBREVIATION","DISTRICT","X.1","candidate.last","X.y","X1","STATE","incumbent","candidate.first","candidate.name","TOTAL.VOTES","PARTY","PRIMARY","primary.perc","RUNOFF","runoff.perc","GENERAL","GE.perc","woman","Total population","18 years and over","Under 20","20 to 44 years","45 to 64 years","Over 65","Median age (years)","White","Black or African American","American Indian and Alaska Native","Asian","Native Hawaiian and Other Pacific Islander","Some other race","Two or more races","Hispanic or Latino (of any race)","Born in United States","Foreign born","Percent Over 16 In labor force","Unemployment Rate","Median (dollars)","Median household income (dollars)","Mean household income (dollars)","All people","Percent high school graduate or higher","Percent bachelor's degree or higher"
"126","H0OR01095",2010,471,1,0,0,0,0,0,0,0,0,0,0,-0.678346200783401,-0.066981648528123,36342,"OR","01",7646,"Cornilles",3997,3998,"Oregon","","Rob","Cornilles, Rob",NA,"R","21,441","41.07%","","","122,858","41.94%",0,0.610918231,0.505346124,0.482616114,0.532378196,0.529723918,0.239577704,0.340659341,0.775656173,0.018570107,0.029888163,0.15467463,0.029181971,0.130985736,0.170329493,0.159595377,0.745633949,0.240630151,0.744761379,0.19047619,0.221054032,0.426086516,0.341946568,0.174757282,0.915816327,0.490384615
"127","H0OR01129",2010,780,0,0,1,0,0,0,0,0,0,0,0,0.324323651994905,0.20748275659988,145,"OR","01",7723,"Robinson",3994,3995,"Oregon","","David","Robinson, David",NA,"D","14,102","18.57%","","","","",0,0.610918231,0.505346124,0.482616114,0.532378196,0.529723918,0.239577704,0.340659341,0.775656173,0.018570107,0.029888163,0.15467463,0.029181971,0.130985736,0.170329493,0.159595377,0.745633949,0.240630151,0.744761379,0.19047619,0.221054032,0.426086516,0.341946568,0.174757282,0.915816327,0.490384615
"128","H0OR02093",2012,1367,0,0,0,0,0,0,0,0,0,1,0,0.41384546692733,0.611612765389408,5000,"OR","02",7734,"Segers",35471,3548,"Oregon","","Joyce B.","Segers, Joyce B.",NA,"D/WF","31,157","76.49%","","","96,741","29.12%",1,0.577825437,0.534611786,0.448569174,0.325179732,0.543565211,0.452136282,0.498168498,0.915801944,0.002852822,0.100901666,0.011726484,0.017611127,0.056070175,0.121864327,0.150385668,0.900263735,0.09196518,0.502742552,0.404761905,0.135081182,0.22659195,0.167679476,0.307443366,0.831632653,0.270833333
"129","H0OR05054",2010,472,1,0,0,0,0,0,0,0,0,0,0,-0.678346200783401,-0.066981648528123,59512,"OR","05",7637,"Bruun",4061,4062,"Oregon","","Scott","Bruun, Scott",NA,"IP*","237","49.27%","","","","",0,0.583753334,0.4759325,0.51962042,0.396922961,0.540779226,0.3360904,0.41025641,0.842467522,0.004495195,0.051231123,0.04477318,0.013487702,0.153254563,0.194949696,0.189566911,0.841013767,0.151524503,0.606679858,0.428571429,0.17786798,0.318609801,0.24557585,0.200647249,0.836734694,0.350961538
"130","H0PA03271",2010,473,0.0379691309537168,0.816101686270109,0.132432901139482,0.0134962816366919,0,0,0,0,0,0,0,0.266375275402692,0.14777066097082,98027,"PA","03",7878,"Kelly",4099,4100,"Pennsylvania","","Mike ","Kelly, Mike ",NA,"R","15,428","28.11%","","","111,909","55.72%",0,0.393634276,0.685053996,0.358314126,0.806146345,0.183814022,0.209666234,0.179487179,0.211884543,0.839500198,0.023533464,0.093770807,0.007094333,0.026357388,0.090030979,0.038135285,0.845272425,0.139376949,0.636645998,0.678571429,0.074461006,0.159203475,0.185886832,0.59223301,0.844387755,0.488782051
"131","H0PA06050",2010,820,0,0,0,0,1,0,0,0,0,0,0,0.562692702510835,-0.726381030143576,1000,"PA","06",7934,"Pike",4129,4130,"Pennsylvania","","Doug","Pike, Doug",NA,"D","20,871","49.16%","","","","",0,0.381824821,0.42403213,0.589032438,0.360782249,0.658970446,0.273578485,0.388278388,0.770395572,0.096808016,0.00848239,0.076024549,0.002995684,0.194171739,0.093428356,0.171197218,0.785253224,0.155656345,0.764073115,0.214285714,0.160766569,0.461517656,0.455102645,0.161812298,0.869897959,0.586538462
"132","H0PA06084",2010,474,0.954240948859684,0,0,0,0,0,0,0,0,0.0457590511403156,0,-0.628368546405598,-0.0359298120381381,54634,"PA","06",7996,"Trivedi",4128,4129,"Pennsylvania","","Manan","Trivedi, Manan",NA,"D","21,585","50.84%","","","100,493","42.90%",0,0.381824821,0.42403213,0.589032438,0.360782249,0.658970446,0.273578485,0.388278388,0.770395572,0.096808016,0.00848239,0.076024549,0.002995684,0.194171739,0.093428356,0.171197218,0.785253224,0.155656345,0.764073115,0.214285714,0.160766569,0.461517656,0.455102645,0.161812298,0.869897959,0.586538462
"133","H0PA06084",2012,957,0.998809796292058,0,0,0,0,0.00119020370794232,0,0,0,0,0,-0.677223867074049,-0.0667634193583285,65535,"PA","06",7997,"Trivedi",36472,3648,"Pennsylvania","","Manan M.","Trivedi, Manan M.",NA,"D","20,037","99.53%","","","143,803","42.86%",0,0.381824821,0.42403213,0.589032438,0.360782249,0.658970446,0.273578485,0.388278388,0.770395572,0.096808016,0.00848239,0.076024549,0.002995684,0.194171739,0.093428356,0.171197218,0.785253224,0.155656345,0.764073115,0.214285714,0.160766569,0.461517656,0.455102645,0.161812298,0.869897959,0.586538462
"134","H0PA06084",2014,1481,1,0,0,0,0,0,0,0,0,0,0,-0.678346200783401,-0.066981648528123,183872,"PA","06",7998,"Trivedi",27302,2731,"Pennsylvania","","Manan","Trivedi, Manan",NA,"D","27,359","99.91%","","","92,901","43.71%",0,0.381824821,0.42403213,0.589032438,0.360782249,0.658970446,0.273578485,0.388278388,0.770395572,0.096808016,0.00848239,0.076024549,0.002995684,0.194171739,0.093428356,0.171197218,0.785253224,0.155656345,0.764073115,0.214285714,0.160766569,0.461517656,0.455102645,0.161812298,0.869897959,0.586538462
"135","H0PA07082",2010,475,1,0,0,0,0,0,0,0,0,0,0,-0.678346200783401,-0.066981648528123,1000,"PA","07",7908,"Meehan",4133,4134,"Pennsylvania","","Patrick  ","Meehan, Patrick  ",NA,"R","48,604","100.00%","","","137,825","54.94%",0,0.374751382,0.533207813,0.494523876,0.361860124,0.673761063,0.333011672,0.435897436,0.820263752,0.104493238,0.007377436,0.045653694,0.002210963,0.112442543,0.096797607,0.221120956,0.764437461,0.15755366,0.670379782,0.261904762,0.091429332,0.321551127,0.245308863,0.210355987,0.849489796,0.320512821
"136","H0PA08155",2010,476,1,0,0,0,0,0,0,0,0,0,0,-0.678346200783401,-0.066981648528123,300,"PA","08",7800,"Carlineo",4141,4142,"Pennsylvania","","Gloria","Carlineo, Gloria",NA,"R","6,529","14.88%","","","","",1,0.314519642,0.603097811,0.400862994,0.325317088,0.76563695,0.396055505,0.523809524,0.848359647,0.110340271,0.01125712,0.025755955,0.002533605,0.092581088,0.057060325,0.132762175,0.867684192,0.102313164,0.565333149,0.297619048,0.043186053,0.212045912,0.147539366,0.359223301,0.869897959,0.227564103
"137","H0PA10094",2010,477,1,0,0,0,0,0,0,0,0,0,0,-0.678346200783401,-0.066981648528123,613,"PA","10",7895,"Madeira",4155,4156,"Pennsylvania","","David","Madeira, David",NA,"R","18,524","31.06%","","","","",0,0.399245203,0.503280467,0.505295808,0.364619145,0.681495331,0.319741035,0.424908425,0.771741854,0.163194152,0.008932226,0.065641967,0.002751514,0.062245276,0.122560623,0.092127751,0.843732931,0.115595552,0.729042449,0.154761905,0.06534469,0.305069561,0.228529308,0.207119741,0.854591837,0.354166667
"138","H0PA11050",2010,478,1,0,0,0,0,0,0,0,0,0,0,-0.678346200783401,-0.066981648528123,135032,"PA","11",7876,"Kanjorski",4164,4165,"Pennsylvania","(I)","Paul E. ","Kanjorski, Paul E. ",NA,"D","33,900","49.36%","","","84,618","45.30%",0,0.379517056,0.440607801,0.557717604,0.34457303,0.557474566,0.351665771,0.395604396,0.907926347,0.047114952,0.003356852,0.02464157,0.001206288,0.055793814,0.098774723,0.090234642,0.907467389,0.058029398,0.730098545,0.071428571,0.09056428,0.319066214,0.237931895,0.213592233,0.762755102,0.288461538
"139","H0PA12090",2010,479,1,0,0,0,0,0,0,0,0,0,0,-0.678346200783401,-0.066981648528123,100,"PA","12",7797,"Burns",4174,4175,"Pennsylvania","","Tim","Burns, Tim",NA,"R","26,577","56.96%","","","91,170","49.22%",0,0.318994296,0.610871867,0.461698965,0.346561232,0.61697864,0.393292004,0.454212454,0.967450075,0.024472823,0.00897185,0.021525661,0.003995996,0.005743722,0.035235644,0.019061566,0.952302403,0.037532947,0.499418141,0.202380952,0.054431727,0.204050239,0.144085947,0.297734628,0.826530612,0.219551282
"140","H0PA12132",2010,480,1.08759155536407,0,0,0,0,-0.0875915553640672,0,0,0,0,0,-0.760942948368366,-0.0830419517187116,23210,"PA","12",7812,"Critz #",4170,4171,"Pennsylvania","(I)","Mark S.","Critz, Mark S. #",NA,"D","58,817","71.46%","","","94,056","50.78%",0,0.318994296,0.610871867,0.461698965,0.346561232,0.61697864,0.393292004,0.454212454,0.967450075,0.024472823,0.00897185,0.021525661,0.003995996,0.005743722,0.035235644,0.019061566,0.952302403,0.037532947,0.499418141,0.202380952,0.054431727,0.204050239,0.144085947,0.297734628,0.826530612,0.219551282
"141","H0PA12132",2012,958,1,0,0,0,0,0,0,0,0,0,0,-0.678346200783401,-0.066981648528123,121111,"PA","12",7811,"Critz",36961,3697,"Pennsylvania","(I)","Mark S.","Critz, Mark S.",NA,"D","32,384","51.03%","","","163,589","48.26%",0,0.318994296,0.610871867,0.461698965,0.346561232,0.61697864,0.393292004,0.454212454,0.967450075,0.024472823,0.00897185,0.021525661,0.003995996,0.005743722,0.035235644,0.019061566,0.952302403,0.037532947,0.499418141,0.202380952,0.054431727,0.204050239,0.144085947,0.297734628,0.826530612,0.219551282
"142","H0PA15101",2010,481,0.990933652468766,0,0,0,0,0,0,0,0,0.00906634753123357,0,-0.668444011553217,-0.0608292757387928,275745,"PA","15",7799,"Callahan",4197,4198,"Pennsylvania","","John B.","Callahan, John B.",NA,"D","32,825","100.00%","","","79,766","39.00%",0,0.26591014,0.667911553,0.343083445,0.294572213,0.82478864,0.441638311,0.58974359,0.9851451,0.027230604,0.002328405,0.004626486,0.000957224,0.00332485,0.018707499,0.003287151,0.98456616,0.011336828,0.47476872,0.202380952,0.0211605,0.191693291,0.117311789,0.284789644,0.869897959,0.168269231
"143","H0PA17065",2010,482,0.83982059907096,0,0,0,0,0,0,0,0.160179400929041,0,0,-0.522682481113773,-0.0315840606525856,6243,"PA","17",7772,"Argall",4211,4212,"Pennsylvania","","Dave","Argall, Dave",NA,"R","20,712","32.33%","","","95,000","44.50%",0,0.329326411,0.600194557,0.363350985,0.338262097,0.755303594,0.414441232,0.542124542,0.896141033,0.081382814,0.002413233,0.039880167,0.002391115,0.010622396,0.074268651,0.008747006,0.919690173,0.075182708,0.72594791,0.095238095,0.068206015,0.33635918,0.297353926,0.13592233,0.971938776,0.519230769
"144","H0RI01073",2010,483,0.633211678832117,0,0,0,0.0626520681265207,0,0,0,0,0.304136253041363,0,-0.268417465446009,0.0980907788759974,8220,"RI","01",8025,"Cicilline",4242,4243,"Rhode Island","","David N.","Cicilline, David N.",NA,"D","21,142","37.21%","","","81,269","50.60%",0,0.001429146,0.582515947,0.469400946,0.400780014,0.712167172,0.298708964,0.388278388,0.74325658,0.120574537,0.014754435,0.048972285,0,0.204394868,0.162231775,0.205349688,0.696462519,0.260537326,0.69259428,0.25,0.130223583,0.300818162,0.251594667,0.281553398,0.760204082,0.386217949
"145","H0RI01073",2012,959,0.929791106873537,0,0,0,0.00859346945851236,0,0,0,0.0616154236679503,0,0,-0.607802972141043,-0.0590319606505216,80759,"RI","01",8027,"Cicilline",37871,3788,"Rhode Island","(I)","David N.","Cicilline, David N.",NA,"D","30,203","62.14%","","","108,612","52.95%",0,0.001429146,0.582515947,0.469400946,0.400780014,0.712167172,0.298708964,0.388278388,0.74325658,0.120574537,0.014754435,0.048972285,0,0.204394868,0.162231775,0.205349688,0.696462519,0.260537326,0.69259428,0.25,0.130223583,0.300818162,0.251594667,0.281553398,0.760204082,0.386217949
"146","H0RI01073",2014,1482,1,0,0,0,0,0,0,0,0,0,0,-0.678346200783401,-0.066981648528123,5564,"RI","01",8028,"Cicilline",28442,2845,"Rhode Island","(I)","David N.","Cicilline, David N.",NA,"D","38,264","63.01%","","","87,060","59.49%",0,0.001429146,0.582515947,0.469400946,0.400780014,0.712167172,0.298708964,0.388278388,0.74325658,0.120574537,0.014754435,0.048972285,0,0.204394868,0.162231775,0.205349688,0.696462519,0.260537326,0.69259428,0.25,0.130223583,0.300818162,0.251594667,0.281553398,0.760204082,0.386217949
"147","H0RI01099",2010,821,0,0,0,0,1,0,0,0,0,0,0,0.562692702510835,-0.726381030143576,564,"RI","01",8069,"Segal",4244,4245,"Rhode Island","","David A.","Segal, David A.",NA,"DEM/W","11,397","20.06%","","","13","0.01%",0,0.001429146,0.582515947,0.469400946,0.400780014,0.712167172,0.298708964,0.388278388,0.74325658,0.120574537,0.014754435,0.048972285,0,0.204394868,0.162231775,0.205349688,0.696462519,0.260537326,0.69259428,0.25,0.130223583,0.300818162,0.251594667,0.281553398,0.760204082,0.386217949
"148","H0RI01107",2012,1315,0,0,0,0.770273374684126,0,0,0,0,0.229726625315874,0,0,0.267603485641056,0.12148830233174,43530,"RI","01",8039,"Gemma",3788,3789,"Rhode Island","","Anthony P.","Gemma, Anthony P.",NA,"D","14,702","30.25%","","","","",0,0.001429146,0.582515947,0.469400946,0.400780014,0.712167172,0.298708964,0.388278388,0.74325658,0.120574537,0.014754435,0.048972285,0,0.204394868,0.162231775,0.205349688,0.696462519,0.260537326,0.69259428,0.25,0.130223583,0.300818162,0.251594667,0.281553398,0.760204082,0.386217949
"149","H0SC01287",2010,484,0.747687132043734,0,0,0.252312867956266,0,0,0,0,0,0,0,-0.441616802902274,-0.0218751695641533,1189,"SC","01",8168,"Lutz",4278,4279,"South Carolina","","Mark","Lutz, Mark",NA,"R","3,237","4.00%","","","","",0,0.540910464,0.504604845,0.487366748,0.411626535,0.50886417,0.3578283,0.406593407,0.695646693,0.277208018,0.015793656,0.028977764,0.039864209,0.079451604,0.091685037,0.05854318,0.871048952,0.108025545,0.680545185,0.130952381,0.137010913,0.389843975,0.331238065,0.171521036,0.903061224,0.493589744
"150","H0SC04182",2010,849,0,0,0,0,0,0,0,0,1,0,0,0.293462401114089,0.154005492578857,5933,"SC","04",8212,"Thomas",4320,4321,"South Carolina","","David","Thomas, David",NA,"R","11,073","12.74%","","","","",0,0.416793486,0.460503427,0.542103763,0.434611929,0.560876897,0.276869211,0.355311355,0.713299951,0.256055065,0.016022839,0.038923097,0.01635036,0.086519622,0.070932903,0.091157207,0.856837411,0.130758959,0.656484521,0.214285714,0.067607133,0.250773366,0.208545907,0.242718447,0.780612245,0.373397436
"151","H0SC05031",2010,485,1,0,0,0,0,0,0,0,0,0,0,-0.678346200783401,-0.066981648528123,41294,"SC","05",8185,"Mulvaney",4330,4331,"South Carolina","","Mick","Mulvaney, Mick",NA,"R","Unopposed","","","","125,834","55.12%",0,0.387241118,0.452422768,0.557759322,0.343900938,0.665133682,0.308891498,0.417582418,0.646757978,0.385824431,0.019659651,0.022606146,0.002646783,0.020582292,0.072248821,0.039039968,0.920529226,0.072972735,0.612934911,0.30952381,0.05449827,0.213170039,0.172462027,0.28802589,0.808673469,0.259615385
"152","H0SC05031",2012,960,1,0,0,0,0,0,0,0,0,0,0,-0.678346200783401,-0.066981648528123,40760,"SC","05",8186,"Mulvaney",3852,3853,"South Carolina","(I)","Mick","Mulvaney, Mick",NA,"R","Unopposed","","","","154,324","55.51%",0,0.387241118,0.452422768,0.557759322,0.343900938,0.665133682,0.308891498,0.417582418,0.646757978,0.385824431,0.019659651,0.022606146,0.002646783,0.020582292,0.072248821,0.039039968,0.920529226,0.072972735,0.612934911,0.30952381,0.05449827,0.213170039,0.172462027,0.28802589,0.808673469,0.259615385
"153","H0SD00054",2010,486,1,0,0,0,0,0,0,0,0,0,0,-0.678346200783401,-0.066981648528123,2000,"SD","00",8246,"Noem",4357,4358,"South Dakota","","Kristi","Noem, Kristi",NA,"R","34,527","42.09%","","","153,703","48.12%",1,0.658712137,0.36802781,0.635112425,0.376619985,0.457002136,0.3077284,0.32967033,0.845762066,0.026762629,0.37182194,0.015050728,0.017147761,0.014787956,0.082331485,0.031373221,0.94099121,0.056103068,0.785223854,0.095238095,0.066143199,0.240647768,0.175793561,0.27184466,0.887755102,0.314102564
"154","H0TN06208",2010,781,0,0,0.431888544891641,0.245743034055728,0.322368421052632,0,0,0,0,0,0,0.385332507917096,-0.117081176925782,2584,"TN","06",8350,"Evans",4456,4457,"Tennessee","","Dave ","Evans, Dave ",NA,"R","3,974","","","","","",0,0.500608916,0.489491462,0.518207683,0.341835196,0.68958868,0.328764391,0.446886447,0.911616437,0.069768657,0.014655386,0.012038697,0.00177599,0.05410291,0.043068614,0.041253831,0.94222601,0.05367519,0.559112212,0.154761905,0.091495874,0.239701134,0.179113487,0.28802589,0.765306122,0.238782051
"155","H0TN06273",2010,487,1,0,0,0,0,0,0,0,0,0,0,-0.678346200783401,-0.066981648528123,6277,"TN","06",8297,"Carter",4461,4462,"Tennessee","","Brett ","Carter, Brett ",NA,"D","9,430","","","","56,145","29.38%",0,0.500608916,0.489491462,0.518207683,0.341835196,0.68958868,0.328764391,0.446886447,0.911616437,0.069768657,0.014655386,0.012038697,0.00177599,0.05410291,0.043068614,0.041253831,0.94222601,0.05367519,0.559112212,0.154761905,0.091495874,0.239701134,0.179113487,0.28802589,0.765306122,0.238782051
"156","H0TN08246",2014,1483,0.390562248995984,0,0,0,0.609437751004016,0,0,0,0,0,0,0.0779897573487291,-0.468844524673284,1992,"TN","08",8355,"Fincher",29892,2990,"Tennessee","(I)","Stephen Lee","Fincher, Stephen Lee",NA,"R","68,472","79.04%","","","122,255","70.83%",0,0.336939255,0.435153685,0.568486731,0.301364822,0.709559455,0.323325964,0.457875458,0.70726316,0.321961256,0.013003404,0.022141137,0.001883319,0.030647048,0.039659806,0.023879247,0.951958457,0.043997898,0.555905633,0.178571429,0.060487091,0.245879608,0.235929492,0.27184466,0.823979592,0.328525641
"157","H0TX03088",2010,877,0,0,0,0,0,0,0,0,0,1,0,0.41384546692733,0.611612765389408,5100,"TX","03",8945,"Lingenfelder",4520,4521,"Texas","","John","Lingenfelder, John",NA,"D","5,306","100.00%","","","47,848","31.34%",0,0.711544201,0.316354004,0.672718252,0.498756563,0.602308429,0.108281221,0.322344322,0.634743004,0.139851719,0.013059637,0.314870735,0.004688053,0.047347258,0.088282524,0.158083507,0.597770303,0.388538398,0.859718715,0.214285714,0.186385414,0.545649712,0.44086527,0.087378641,0.951530612,0.711538462
"158","H0TX04102",2010,782,0,0,0.0104166666666667,0,0,0,0,0,0,0,0.989583333333333,0.327574689139636,0.207283466224685,9600,"TX","04",8716,"Cooper",4528,4529,"Texas","","John","Cooper, John",NA,"R","3,748","5.43%","","","","",0,0.469797936,0.360262623,0.64125833,0.327720918,0.616880239,0.284831305,0.380952381,0.799891217,0.155174328,0.028457654,0.020196072,0.008114926,0.08155943,0.104802276,0.161055243,0.883932686,0.111094697,0.546291603,0.178571429,0.055429864,0.245102017,0.198313338,0.317152104,0.772959184,0.216346154
"159","H0TX07055",2014,1799,0,0,0,0,1,0,0,0,0,0,0,0.562692702510835,-0.726381030143576,14,"TX","07",8734,"Culberson",30642,3065,"Texas","(I)","John","Culberson, John",NA,"R","31,065","100.00%","","","90,606","63.26%",0,0.432879257,0.390361386,0.574957845,0.64841389,0.408791472,0.114656462,0.252747253,0.54468966,0.223973064,0.030023825,0.211499715,0.009017505,0.230644343,0.106333681,0.332077316,0.465028823,0.526399143,0.885387187,0.238095238,0.123236625,0.36064202,0.447719873,0.220064725,0.852040816,0.644230769
"160","H0TX12147",2014,1854,0,0,0,0,0,0,0,0,0,0,0,0.234774162653261,0.0892902634112085,0,"TX","12",8830,"Greene",30992,3100,"Texas","","Mark","Greene, Mark",NA,"D","9,700","100.00%","","","41,757","26.31%",0,0.584389128,0.349057869,0.642641669,0.532891024,0.43187446,0.166084399,0.263736264,0.78103327,0.136821219,0.031982581,0.059869744,0.009123896,0.102385415,0.092760802,0.252360047,0.801722936,0.183541551,0.719457017,0.166666667,0.095954219,0.354471998,0.271583872,0.155339806,0.818877551,0.349358974
"161","H0TX14150",2010,879,0,0,0,0,0,0,0,0,0,1,0,0.41384546692733,0.611612765389408,2600,"TX","14",8699,"Cochran",4619,4620,"Texas","","Winston","Cochran, Winston",NA,"D","5,112","31.07%","1,309","45.39%","","",0,0.42862333,0.385195854,0.610176034,0.454981648,0.57273487,0.205170416,0.315018315,0.708207419,0.280970421,0.009799525,0.050158883,0.009179437,0.052125833,0.053307386,0.287581242,0.808362728,0.179285639,0.569061086,0.19047619,0.062816077,0.307638995,0.243155555,0.28802589,0.772959184,0.238782051
"162","H0TX17104",2014,1800,0,0,0,0,1,0,0,0,0,0,0,0.562692702510835,-0.726381030143576,14,"TX","17",8781,"Flores",31413,3142,"Texas","(I)","Bill","Flores, Bill",NA,"R","32,770","100.00%","","","85,807","64.58%",0,0.475877831,0.476055107,0.615429708,0.635761891,0.285220408,0.147865412,0.168498168,0.746124323,0.197587352,0.023075513,0.072590893,0.004375691,0.04518849,0.107158633,0.291742342,0.802169664,0.18594869,0.634319835,0.166666667,0.07565877,0.235542708,0.176669975,0.433656958,0.765306122,0.355769231
"163","H0TX19043",2010,880,0,0,0,0,0,0,0,0,0,1,0,0.41384546692733,0.611612765389408,5200,"TX","19",9263,"Wilson",4668,4669,"Texas","","Andy","Wilson, Andy",NA,"D","8,256","100.00%","","","25,984","19.06%",0,0.371409294,0.369477287,0.714519379,0.529205724,0.213733865,0.206923825,0.19047619,0.840425007,0.084611385,0.017074181,0.019543139,0.007993177,0.147111899,0.080839765,0.412882328,0.852717747,0.131227499,0.61420363,0.05952381,0.027615118,0.204684146,0.146935743,0.391585761,0.665816327,0.221153846
"164","H0TX21080",2010,881,0,0,0,0,0,0,0,0,0,1,0,0.41384546692733,0.611612765389408,5600,"TX","21",8985,"Melnick",4686,4687,"Texas","","Lainey","Melnick, Lainey",NA,"D","14,773","100.00%","","","65,927","27.87%",1,0.556705216,0.641384471,0.376912042,0.560898333,0.501448566,0.298505392,0.373626374,0.853263588,0.053992286,0.032828584,0.060949123,0.000793859,0.082487556,0.111905151,0.33471553,0.794315108,0.169135433,0.732716408,0.107142857,0.15970189,0.358461382,0.348725717,0.197411003,0.923469388,0.59775641
"165","H0TX22104",2010,882,0,0,0,0,0,0,0,0,0,1,0,0.41384546692733,0.611612765389408,2600,"TX","22",8622,"Blatt",4694,4695,"Texas","","Doug","Blatt, Doug",NA,"D","3,956","27.70%","","","","",0,0.800140134,0.211178982,0.779474086,0.442341222,0.57479256,0.097239387,0.293040293,0.54170214,0.208721126,0.023217814,0.32298004,0.007508565,0.085665169,0.122648713,0.293035747,0.564738307,0.423282329,0.784295813,0.130952381,0.135480437,0.596691854,0.459780722,0.067961165,0.864795918,0.565705128
"166","H0TX23086",2014,1484,1,0,0,0,0,0,0,0,0,0,0,-0.678346200783401,-0.066981648528123,77920,"TX","23",8881,"Hurd",3191,3192,"Texas","","Will","Hurd, Will",NA,"R","10,496","40.96%","8,699","59.46%","57,459","49.78%",0,0.47715498,0.207478578,0.826655481,0.464858972,0.283724359,0.160251645,0.208791209,0.848802452,0.043408324,0.035201806,0.02816928,0.012817917,0.18665379,0.068856023,0.77778822,0.714918959,0.25009215,0.58855407,0.154761905,0.048176737,0.236768261,0.198417812,0.388349515,0.553571429,0.221153846
"167","H0TX26071",2010,850,0,0,0,0,0,0,0,0,0.0579710144927536,0.942028985507246,0,0.406866738474389,0.585084807545318,2760,"TX","26",8760,"Durrance",4735,4736,"Texas","","Neil L.","Durrance, Neil L.",NA,"D","7,450","100.00%","","","55,385","30.70%",0,0.725824539,0.304418093,0.703674351,0.487446121,0.642694284,0.080861708,0.278388278,0.745459585,0.128207317,0.023930718,0.133352368,0.00475214,0.069957336,0.12486558,0.213540647,0.753915268,0.229736693,0.899385181,0.107142857,0.14426404,0.551464746,0.436036287,0.084142395,0.903061224,0.568910256
"168","H0TX27061",2014,1801,0,0,0,0,1,0,0,0,0,0,0,0.562692702510835,-0.726381030143576,14,"TX","27",8770,"Farenthold",32223,3223,"Texas","(I)","Blake","Farenthold, Blake",NA,"R","31,727","100.00%","","","83,342","63.60%",0,0.400811518,0.353834789,0.659700561,0.414915506,0.380323719,0.285450081,0.293040293,0.866373264,0.065728708,0.008862937,0.020348451,0.003091945,0.150815511,0.049345985,0.60453869,0.850589452,0.141882648,0.543739445,0.333333333,0.043518765,0.210676674,0.147011196,0.430420712,0.663265306,0.16025641
"169","H0TX29075",2010,488,1,0,0,0,0,0,0,0,0,0,0,-0.678346200783401,-0.066981648528123,3135,"TX","29",8999,"Morales",4761,4762,"Texas","","Roy","Morales, Roy",NA,"R","4,137","58.36%","","","22,825","34.09%",0,0.471970386,-1.32925e-06,1.000000919,0.547394121,0.161674067,0.010267959,0.058608059,0.697707215,0.149740509,0.011448234,0.024239463,0.003621986,0.380907861,0.030489545,0.881109797,0.483383813,0.521560267,0.669162067,0.452380952,0.031541123,0.145705496,0.082075302,0.605177994,0.209183673,0.024038462
"170","H0TX30040",2010,489,0.212401939785551,0,0.297475204949527,0.00682783585725637,0,0.0473795563868715,0.426831302095766,0,0.00490505449515544,0.00417910642987244,0,0.0788227506209468,0.104419032024616,305807,"TX","30",8638,"Broden",4772,4773,"Texas","","Stephen E.","Broden, Stephen E.",NA,"R","3,681","49.52%","2,126","67.51%","24,668","21.64%",0,0.487781821,0.23489474,0.785272569,0.529718651,0.394102293,0.084062352,0.157509158,0.393852121,0.611628489,0.010269037,0.023643435,0.002622607,0.193361102,0.044234913,0.448219732,0.683189021,0.317816896,0.64899405,0.452380952,0.055629492,0.175448383,0.138635928,0.491909385,0.571428571,0.197115385
"171","H0TX30057",2010,490,1,0,0,0,0,0,0,0,0,0,0,-0.678346200783401,-0.066981648528123,7116,"TX","30",8808,"Goldstein",4773,4774,"Texas","","Sheldon","Goldstein, Sheldon",NA,"R","2,809","37.79%","1,023","32.49%","","",0,0.487781821,0.23489474,0.785272569,0.529718651,0.394102293,0.084062352,0.157509158,0.393852121,0.611628489,0.010269037,0.023643435,0.002622607,0.193361102,0.044234913,0.448219732,0.683189021,0.317816896,0.64899405,0.452380952,0.055629492,0.175448383,0.138635928,0.491909385,0.571428571,0.197115385
"172","H0TX32012",2010,851,0,0,0,0,0,0,0,0,0.0298507462686567,0.970149253731343,0,0.410251942574696,0.597952846798048,5360,"TX","32",9086,"Raggio",4788,4789,"Texas","","Grier","Raggio, Grier",NA,"D","7,461","100.00%","","","44,258","34.88%",0,0.461167451,0.357638243,0.622908263,0.533251645,0.512192042,0.147251972,0.241758242,0.637085748,0.215788454,0.02316204,0.139927929,0.007091322,0.143216755,0.121015188,0.295347852,0.623921718,0.36887218,0.874667929,0.178571429,0.133284536,0.383750021,0.434672331,0.207119741,0.793367347,0.564102564
"173","H0UT02096",2012,961,1,0,0,0,0,0,0,0,0,0,0,-0.678346200783401,-0.066981648528123,262380,"UT","04",9370,"Matheson",4460,4461,"Utah","(I)","Jim","Matheson, Jim",NA,"D","*","","","","119,803","48.84%",0,0.595268062,0.070203894,0.920608835,0.613082632,0.04918086,0.049800218,0.102564103,0.850482995,0.01357869,0.023582007,0.041804633,0.085179628,0.164925081,0.117117778,0.183215857,0.820507365,0.17554107,0.927852068,0.178571429,0.176137876,0.421395608,0.289361727,0.148867314,0.895408163,0.379807692
